company,stock_code,report_year,report_type,filename,pdf_sha256,page_count,file_size_bytes,modality,verification_status
中国人保,601319.SH,2023,ANNUAL_REPORT,中国人保2023年年度报告.pdf,f30387d9797371de358b10fd0f9f8237c8909a0ce1d5033ca6ab26378fcc48ce,311,11761172,NATIVE_DIGITAL,PASS
中国人保,601319.SH,2024,ANNUAL_REPORT,中国人保2024年年度报告.pdf,7ede132c8af8d5215b24ecf7b0375374649555e55d058b2eebed02f2e9aac978,299,3579323,NATIVE_DIGITAL,PASS
中国人保,601319.SH,2025,ANNUAL_REPORT,中国人保2025年年度报告.pdf,c8e5ed5435197ff0c056ee9ad6aa630b6e7a655a47ba61e18d352e89745791fe,278,12461533,NATIVE_DIGITAL,PASS
中国再保,01508.HK,2023,ANNUAL_REPORT,中国再保2023年年度报告.pdf,cad91861bded6b02ace912405f50f03524f4eb0a1e05fbe6cb4b04ac5ba32d3c,390,29401669,NATIVE_DIGITAL,PASS
中国再保,01508.HK,2024,ANNUAL_REPORT,中国再保2024年年度报告.pdf,69055942faf87757f7f0826fa988cf87516a7e3684fd927de3026571b6d480ad,379,31034935,NATIVE_DIGITAL,PASS
中国再保,01508.HK,2025,ANNUAL_REPORT,中国再保2025年年度报告.pdf,cfcd25105c0573e5d2c0e9dccd5deb9cf5ad5ea7528afe4a851b852e74f3c1a9,370,8205754,NATIVE_DIGITAL,PASS
众安在线,06060.HK,2023,ANNUAL_REPORT,众安在线2023年度报告.pdf,276ceeccde7be81b04ce808f6eba43eb088f609defbe3bd40fc8e2589e49d14e,199,4716786,NATIVE_DIGITAL,PASS
众安在线,06060.HK,2024,ANNUAL_REPORT,众安在线2024年度报告.pdf,3f79f13187ac8516883f30bf886fcf406f1b0fda3ba1388516f6cb2ade596b40,191,5696390,NATIVE_DIGITAL,PASS
众安在线,06060.HK,2025,ANNUAL_REPORT,众安在线2025年度报告.pdf,ea8c839b7f9fe18fc0beb7e57f49c968315b6d346f7341212353cb9ed97f2331,187,9420084,NATIVE_DIGITAL,PASS
阳光保险,06963.HK,2023,ANNUAL_REPORT,阳光保险2023年度报告.pdf,6a8bab4aabc6573f0a9b409879ef068e8772ec98d01ca0d37b45e1f7829d3b9f,314,5713517,NATIVE_DIGITAL,PASS
阳光保险,06963.HK,2024,ANNUAL_REPORT,阳光保险2024年度报告.pdf,7f20adcc4676dc0906c3b096da0bcd7f9c3d346cccf37486556dec980ec229fa,302,10302604,NATIVE_DIGITAL,PASS
阳光保险,06963.HK,2025,ANNUAL_REPORT,阳光保险2025年度报告.pdf,04ec5cf39c1e1d1d8b7522f87c4f32cb87d524071a9368d82949885942385198,290,10940507,NATIVE_DIGITAL,PASS
友邦保险,01299.HK,2023,ANNUAL_REPORT,友邦保险2023年报.pdf,24d40562aff2a09911845532bca4be841d484ce3ef2c1366b68c183cf6718779,376,5663865,NATIVE_DIGITAL,PASS
友邦保险,01299.HK,2024,ANNUAL_REPORT,友邦保险2024年报.pdf,50ebe59813386119ba1026a6a42fabc00a86470e970659fa3cf467f1d376a588,371,8796996,NATIVE_DIGITAL,PASS
友邦保险,01299.HK,2025,ANNUAL_REPORT,友邦保险2025年报.pdf,0cddef841305d33d00c7140d326d67605e098329046bf0fc1353987c05e6c752,363,9157028,NATIVE_DIGITAL,PASS
中国财险,02328.HK,2023,ANNUAL_REPORT,中国财险2023年度报告.pdf,21c76775ef13228abf0fbda733ef6353b1eeb55c84a90244458a3597edb30d3b,316,6731204,NATIVE_DIGITAL,PASS
中国财险,02328.HK,2024,ANNUAL_REPORT,中国财险2024年度报告.pdf,d299685cd8ccf6bc6f5580172cca9b24f5150d322351800e082db35842891973,296,3499667,NATIVE_DIGITAL,PASS
中国财险,02328.HK,2025,ANNUAL_REPORT,中国财险2025年度报告.pdf,36363db8e934dcfea8124a5b9450f7a26bf13be949cb28254b51873328a126f2,276,4816401,NATIVE_DIGITAL,PASS
BASELINE,BASELINE,2023-2025,ANNUAL_REPORT,中国人寿2023年年度报告.pdf,5ea1048c3a9323b37b1ad2e870da0fb54d9cfacdfba159aad4b9bec070edc18a,244,5800764,NATIVE_DIGITAL,PASS
BASELINE,BASELINE,2023-2025,ANNUAL_REPORT,中国人寿2024年年度报告.pdf,3cc6db9bbd9c3c754548b6be288bcebae7187e5264eba59025237f5aa8c667e0,256,13075666,NATIVE_DIGITAL,PASS
BASELINE,BASELINE,2023-2025,ANNUAL_REPORT,中国人寿2025年年度报告.pdf,575a833fd7b83ad3568483273645236eddb751a92ab89f7e1c09105d92cedb27,228,5031381,NATIVE_DIGITAL,PASS
BASELINE,BASELINE,2023-2025,ANNUAL_REPORT,中国太保2023年报.pdf,716a65f266f6ed6dc12f6906db26b84aeac4745c212c8cb8687c7a4fa0fc9dab,287,8324038,NATIVE_DIGITAL,PASS
BASELINE,BASELINE,2023-2025,ANNUAL_REPORT,中国太保2024年报.pdf,3b6117c82942349be225d531b342cbbaf36255d02a2556525e697164a42e6b66,302,13373232,NATIVE_DIGITAL,PASS
BASELINE,BASELINE,2023-2025,ANNUAL_REPORT,中国太保2025年报.pdf,3787b6a6ec1bf480be2092e7bae156bd0f1d1b7f9f28bd9226d038951c788dee,310,13107566,NATIVE_DIGITAL,PASS
BASELINE,BASELINE,2023-2025,ANNUAL_REPORT,中国平安2023年报.pdf,f55538814200d77a61492ba216e45508f487064207bca6a4d90c7b55add43823,334,7225491,NATIVE_DIGITAL,PASS
BASELINE,BASELINE,2023-2025,ANNUAL_REPORT,中国平安2024年报.pdf,6ffff1cade59c64c8178494c083cac8a4011ef5ae2fed32f85dd488a64a809b2,346,11542073,NATIVE_DIGITAL,PASS
BASELINE,BASELINE,2023-2025,ANNUAL_REPORT,中国平安2025年报.pdf,860c455bbad9be59d3d1bf64bf683733feb79157212532df44b91d49a0b03c2a,370,9497402,NATIVE_DIGITAL,PASS
BASELINE,BASELINE,2023-2025,ANNUAL_REPORT,新华保险2023年报.pdf,046dbb6f39ab859f8c6c7beabf06010abf775a860964b24ab076f8053b1365b0,284,4651395,NATIVE_DIGITAL,PASS
BASELINE,BASELINE,2023-2025,ANNUAL_REPORT,新华保险2024年报.pdf,a983bd987c15ab982d9fbbce29255afff4bc90ca6ba5f15334d0784a8de1c7f0,292,4245883,NATIVE_DIGITAL,PASS
BASELINE,BASELINE,2023-2025,ANNUAL_REPORT,新华保险2025年报.pdf,4a5d6ee54dc0a351acac6d9d3ce1d0eee6d4a388c4c36c1668a35d5ffd35c528,295,6694301,NATIVE_DIGITAL,PASS
