company,document_year,value_year,effective_year,year_source,pdf_name,pdf_sha256,metric,standard_metric,machine_value,machine_value_raw,machine_value_yuan,machine_unit,machine_original_unit,machine_status,machine_layer,machine_confidence,machine_page,machine_label,machine_period_raw,machine_source_method,final_value,final_value_raw,final_value_yuan,final_unit,final_original_unit,final_page,final_label,final_period_raw,final_source_method,value,value_raw,value_yuan,unit,original_unit,page,matched_label,source_method,status,layer,confidence,resolution_source,review_status,reviewed_at,review_note
农银人寿,2022,2022,2022,table_header,农银人寿2022年报.pdf,4a62c9b2936b7ebb3327d4e6c775a7ae5f94060032e58cf088d0276346bd2bc3,业务及管理费,业务及管理费,36000.0,36,36000.0,元,千元,RESOLVED,L0,1.0,6,业务及管理费,2022年,coordinate_rows,36000.0,36,36000.0,元,千元,6,业务及管理费,2022年,coordinate_rows,36000.0,36,36000.0,元,千元,6,业务及管理费,coordinate_rows,RESOLVED,L0,1.0,MACHINE,NOT_REVIEWED,,
农银人寿,2022,2022,2022,table_header,农银人寿2022年报.pdf,4a62c9b2936b7ebb3327d4e6c775a7ae5f94060032e58cf088d0276346bd2bc3,支付给职工以及为职工支付的现金,支付给职工以及为职工支付的现金,-1242608580.0,"(1,242,608.58)",-1242608580.0,元,千元,RESOLVED,L0,1.0,8,支付给职工以及为职工支付的现金,2022年,coordinate_rows,-1242608580.0,"(1,242,608.58)",-1242608580.0,元,千元,8,支付给职工以及为职工支付的现金,2022年,coordinate_rows,-1242608580.0,"(1,242,608.58)",-1242608580.0,元,千元,8,支付给职工以及为职工支付的现金,coordinate_rows,RESOLVED,L0,1.0,MACHINE,NOT_REVIEWED,,
农银人寿,2023,2023,2023,table_header,农银人寿2023年报.pdf,3f737be00412b2869b6464c10c182ee186ab7b1db74550afac3e1db8e03c0e63,业务及管理费,业务及管理费,37000.0,37,37000.0,元,千元,RESOLVED,L0,1.0,54,业务及管理费,2023年,coordinate_rows,37000.0,37,37000.0,元,千元,54,业务及管理费,2023年,coordinate_rows,37000.0,37,37000.0,元,千元,54,业务及管理费,coordinate_rows,RESOLVED,L0,1.0,MACHINE,NOT_REVIEWED,,
农银人寿,2023,2023,2023,table_header,农银人寿2023年报.pdf,3f737be00412b2869b6464c10c182ee186ab7b1db74550afac3e1db8e03c0e63,支付给职工以及为职工支付的现金,支付给职工以及为职工支付的现金,-1305566980.0,"(1,305,566.98)",-1305566980.0,元,千元,RESOLVED,L0,1.0,56,支付给职工以及为职工支付的现金,2023年,coordinate_rows,-1305566980.0,"(1,305,566.98)",-1305566980.0,元,千元,56,支付给职工以及为职工支付的现金,2023年,coordinate_rows,-1305566980.0,"(1,305,566.98)",-1305566980.0,元,千元,56,支付给职工以及为职工支付的现金,coordinate_rows,RESOLVED,L0,1.0,MACHINE,NOT_REVIEWED,,
农银人寿,2025,2025,2025,table_header,农银人寿2025年报.pdf,9fa2aa2597fc14ba81a5702022ffaca5d9bcabcca1fc78782ff3823b957d4b04,业务及管理费,业务及管理费,30000.0,30,30000.0,元,千元,RESOLVED,L0,1.0,5,业务及管理费,2025年度,coordinate_rows,30000.0,30,30000.0,元,千元,5,业务及管理费,2025年度,coordinate_rows,30000.0,30,30000.0,元,千元,5,业务及管理费,coordinate_rows,RESOLVED,L0,1.0,MACHINE,NOT_REVIEWED,,
农银人寿,2025,2025,2025,table_header,农银人寿2025年报.pdf,9fa2aa2597fc14ba81a5702022ffaca5d9bcabcca1fc78782ff3823b957d4b04,支付给职工以及为职工支付的现金,支付给职工以及为职工支付的现金,-1262626810.0,"(1,262,626.81)",-1262626810.0,元,千元,RESOLVED,L0,1.0,7,支付给职工以及为职工支付的现金,2025年度,coordinate_rows,-1262626810.0,"(1,262,626.81)",-1262626810.0,元,千元,7,支付给职工以及为职工支付的现金,2025年度,coordinate_rows,-1262626810.0,"(1,262,626.81)",-1262626810.0,元,千元,7,支付给职工以及为职工支付的现金,coordinate_rows,RESOLVED,L0,1.0,MACHINE,NOT_REVIEWED,,
农银人寿,2024,2024,2024,table_header,农银人寿2024年报.pdf,923258b5c33a45f97c53acc024bd699a0290a8068cbe12478a1315cc561acbe8,业务及管理费,业务及管理费,29000.0,29,29000.0,元,千元,RESOLVED,L0,1.0,6,业务及管理费,2024年度,coordinate_rows,29000.0,29,29000.0,元,千元,6,业务及管理费,2024年度,coordinate_rows,29000.0,29,29000.0,元,千元,6,业务及管理费,coordinate_rows,RESOLVED,L0,1.0,MACHINE,NOT_REVIEWED,,
农银人寿,2024,2024,2024,table_header,农银人寿2024年报.pdf,923258b5c33a45f97c53acc024bd699a0290a8068cbe12478a1315cc561acbe8,支付给职工以及为职工支付的现金,支付给职工以及为职工支付的现金,-1278400430.0,"(1,278,400.43)",-1278400430.0,元,千元,RESOLVED,L0,1.0,8,支付给职工以及为职工支付的现金,2024年度,coordinate_rows,-1278400430.0,"(1,278,400.43)",-1278400430.0,元,千元,8,支付给职工以及为职工支付的现金,2024年度,coordinate_rows,-1278400430.0,"(1,278,400.43)",-1278400430.0,元,千元,8,支付给职工以及为职工支付的现金,coordinate_rows,RESOLVED,L0,1.0,MACHINE,NOT_REVIEWED,,
中银三星,2022,2022,2022,table_header,中银三星2022年报.pdf,91e001708c2bf56bbb6bff1921d2d19c9367a96cdccc31d7eb8dd072558127db,业务及管理费,业务及管理费,40.0,40,40.0,元,元,RESOLVED,L0,1.0,36,业务及管理费,2022年度,coordinate_rows,40.0,40,40.0,元,元,36,业务及管理费,2022年度,coordinate_rows,40.0,40,40.0,元,元,36,业务及管理费,coordinate_rows,RESOLVED,L0,1.0,MACHINE,NOT_REVIEWED,,
中银三星,2022,2022,2022,table_header,中银三星2022年报.pdf,91e001708c2bf56bbb6bff1921d2d19c9367a96cdccc31d7eb8dd072558127db,支付给职工以及为职工支付的现金,支付给职工以及为职工支付的现金,-514997301.92,"(514,997,301.92)",-514997301.92,元,元,RESOLVED,L0,1.0,38,支付给职工以及为职工支付的现金,2022年度,coordinate_rows,-514997301.92,"(514,997,301.92)",-514997301.92,元,元,38,支付给职工以及为职工支付的现金,2022年度,coordinate_rows,-514997301.92,"(514,997,301.92)",-514997301.92,元,元,38,支付给职工以及为职工支付的现金,coordinate_rows,RESOLVED,L0,1.0,MACHINE,NOT_REVIEWED,,
