company,document_year,value_year,effective_year,year_source,pdf_name,metric,standard_metric,value,value_raw,value_yuan,unit,original_unit,value_period_raw,value_period_confidence,status,layer,confidence,page,matched_label,source_method,warnings,pdf_sha256
农银人寿,2022,2022,2022,table_header,农银人寿2022年报.pdf,业务及管理费,业务及管理费,36000.0,36,36000.0,元,千元,2022年,HIGH,RESOLVED,L0,1.0,6,业务及管理费,coordinate_rows,该候选来自坐标行重建或其数值恢复链，建议人工核对PDF原页。,4a62c9b2936b7ebb3327d4e6c775a7ae5f94060032e58cf088d0276346bd2bc3
农银人寿,2022,2022,2022,table_header,农银人寿2022年报.pdf,支付给职工以及为职工支付的现金,支付给职工以及为职工支付的现金,-1242608580.0,"(1,242,608.58)",-1242608580.0,元,千元,2022年,HIGH,RESOLVED,L0,1.0,8,支付给职工以及为职工支付的现金,coordinate_rows,该候选来自坐标行重建或其数值恢复链，建议人工核对PDF原页。,4a62c9b2936b7ebb3327d4e6c775a7ae5f94060032e58cf088d0276346bd2bc3
农银人寿,2023,2023,2023,table_header,农银人寿2023年报.pdf,业务及管理费,业务及管理费,37000.0,37,37000.0,元,千元,2023年,HIGH,RESOLVED,L0,1.0,54,业务及管理费,coordinate_rows,该候选来自坐标行重建或其数值恢复链，建议人工核对PDF原页。,3f737be00412b2869b6464c10c182ee186ab7b1db74550afac3e1db8e03c0e63
农银人寿,2023,2023,2023,table_header,农银人寿2023年报.pdf,支付给职工以及为职工支付的现金,支付给职工以及为职工支付的现金,-1305566980.0,"(1,305,566.98)",-1305566980.0,元,千元,2023年,HIGH,RESOLVED,L0,1.0,56,支付给职工以及为职工支付的现金,coordinate_rows,该候选来自坐标行重建或其数值恢复链，建议人工核对PDF原页。,3f737be00412b2869b6464c10c182ee186ab7b1db74550afac3e1db8e03c0e63
农银人寿,2025,2025,2025,table_header,农银人寿2025年报.pdf,业务及管理费,业务及管理费,30000.0,30,30000.0,元,千元,2025年度,HIGH,RESOLVED,L0,1.0,5,业务及管理费,coordinate_rows,该候选来自坐标行重建或其数值恢复链，建议人工核对PDF原页。,9fa2aa2597fc14ba81a5702022ffaca5d9bcabcca1fc78782ff3823b957d4b04
农银人寿,2025,2025,2025,table_header,农银人寿2025年报.pdf,支付给职工以及为职工支付的现金,支付给职工以及为职工支付的现金,-1262626810.0,"(1,262,626.81)",-1262626810.0,元,千元,2025年度,HIGH,RESOLVED,L0,1.0,7,支付给职工以及为职工支付的现金,coordinate_rows,该候选来自坐标行重建或其数值恢复链，建议人工核对PDF原页。,9fa2aa2597fc14ba81a5702022ffaca5d9bcabcca1fc78782ff3823b957d4b04
农银人寿,2024,2024,2024,table_header,农银人寿2024年报.pdf,业务及管理费,业务及管理费,29000.0,29,29000.0,元,千元,2024年度,HIGH,RESOLVED,L0,1.0,6,业务及管理费,coordinate_rows,该候选来自坐标行重建或其数值恢复链，建议人工核对PDF原页。,923258b5c33a45f97c53acc024bd699a0290a8068cbe12478a1315cc561acbe8
农银人寿,2024,2024,2024,table_header,农银人寿2024年报.pdf,支付给职工以及为职工支付的现金,支付给职工以及为职工支付的现金,-1278400430.0,"(1,278,400.43)",-1278400430.0,元,千元,2024年度,HIGH,RESOLVED,L0,1.0,8,支付给职工以及为职工支付的现金,coordinate_rows,该候选来自坐标行重建或其数值恢复链，建议人工核对PDF原页。,923258b5c33a45f97c53acc024bd699a0290a8068cbe12478a1315cc561acbe8
中银三星,2022,2022,2022,table_header,中银三星2022年报.pdf,业务及管理费,业务及管理费,40.0,40,40.0,元,元,2022年度,HIGH,RESOLVED,L0,1.0,36,业务及管理费,coordinate_rows,该候选来自坐标行重建或其数值恢复链，建议人工核对PDF原页。,91e001708c2bf56bbb6bff1921d2d19c9367a96cdccc31d7eb8dd072558127db
中银三星,2022,2022,2022,table_header,中银三星2022年报.pdf,支付给职工以及为职工支付的现金,支付给职工以及为职工支付的现金,-514997301.92,"(514,997,301.92)",-514997301.92,元,元,2022年度,HIGH,RESOLVED,L0,1.0,38,支付给职工以及为职工支付的现金,coordinate_rows,该候选来自坐标行重建或其数值恢复链，建议人工核对PDF原页。,91e001708c2bf56bbb6bff1921d2d19c9367a96cdccc31d7eb8dd072558127db
中银三星,2023,2023,2023,table_header,中银三星2023年报.pdf,业务及管理费,业务及管理费,39.0,39,39.0,元,元,2023年度,MEDIUM,RESOLVED,L0,1.0,41,业务及管理费,coordinate_rows,多个数值列均匹配目标年份 2023；按期间语义与列顺序选择。 | 该候选来自坐标行重建或其数值恢复链，建议人工核对PDF原页。,cb203ed177ce8a5dd800d19a1ba018032b6ed8f01b847a658dca77e676c20d9e
中银三星,2023,2023,2023,table_header,中银三星2023年报.pdf,支付给职工以及为职工支付的现金,支付给职工以及为职工支付的现金,-562444487.39,"(562,444,487.39)",,,,2023年度,MEDIUM,RESOLVED,L0,1.0,19,支付给职工以及为职工支付的现金,coordinate_rows,多个数值列均匹配目标年份 2023；按期间语义与列顺序选择。 | 未可靠识别原始单位；value_yuan 未自动生成或需人工确认。 | 该候选来自坐标行重建或其数值恢复链，建议人工核对PDF原页。,cb203ed177ce8a5dd800d19a1ba018032b6ed8f01b847a658dca77e676c20d9e
建信人寿,2024,2024,2024,table_header,建信人寿2024年报.pdf,业务及管理费,业务及管理费,-525345339.0,"(525,345,339)",-525345339.0,元,元,2024年度,HIGH,RESOLVED,L0,1.0,156,业务及管理费,coordinate_rows,该候选来自坐标行重建或其数值恢复链，建议人工核对PDF原页。,15ec7e559faa8b4e8de51a688c8b8b1e3b0d0b1d7142b21f20ec10b8189b9500
建信人寿,2024,2024,2024,table_header,建信人寿2024年报.pdf,支付给职工以及为职工支付的现金,支付给职工以及为职工支付的现金,-1706129507.0,"(1,706,129,507)",-1706129507.0,元,元,2024年,HIGH,RESOLVED,L0,1.0,10,支付给职工以及为职工支付的现金,pdfplumber_table,,15ec7e559faa8b4e8de51a688c8b8b1e3b0d0b1d7142b21f20ec10b8189b9500
建信人寿,2022,2021,2021,table_header,建信人寿2022年报.pdf,业务及管理费,业务及管理费,2732569409.0,"(2,732,569,409",,,,2021年度,MEDIUM,RESOLVED,L0,1.0,159,业务及管理费,pdfplumber_table,未可靠识别原始单位；value_yuan 未自动生成或需人工确认。,e7eec2489f818fa33eec6bde52d6c9a27289c82a21c6d6db332bc3e9bcb1be06
建信人寿,2022,2022,2022,table_header,建信人寿2022年报.pdf,支付给职工以及为职工支付的现金,支付给职工以及为职工支付的现金,-1719577158.0,"(1,719,577,158)",-1719577158.0,元,元,2022年度,HIGH,RESOLVED,L0,1.0,10,支付给职工以及为职工支付的现金,coordinate_rows,该候选来自坐标行重建或其数值恢复链，建议人工核对PDF原页。,e7eec2489f818fa33eec6bde52d6c9a27289c82a21c6d6db332bc3e9bcb1be06
建信人寿,2025,2025,2025,table_header,建信人寿2025年报.pdf,业务及管理费,业务及管理费,-703909115.0,"(703,909,115)",-703909115.0,元,元,2025年度,HIGH,RESOLVED,L0,1.0,145,业务及管理费,coordinate_rows,该候选来自坐标行重建或其数值恢复链，建议人工核对PDF原页。,4936c61b693884304cf367f239e99d066647a7108708557f23e8f988858be6b8
建信人寿,2025,2025,2025,table_header,建信人寿2025年报.pdf,支付给职工以及为职工支付的现金,支付给职工以及为职工支付的现金,-1722530681.0,"(1,722,530,681)",-1722530681.0,元,元,2025年,HIGH,RESOLVED,L0,1.0,10,支付给职工以及为职工支付的现金,coordinate_rows,该候选来自坐标行重建或其数值恢复链，建议人工核对PDF原页。,4936c61b693884304cf367f239e99d066647a7108708557f23e8f988858be6b8
