normalized_item,example_raw_item,canonical_item,category,mapping_status,mapping_note
手续费及佣金,手续费及佣金,,,UNMAPPED,
职工薪酬,职工薪酬,,,UNMAPPED,
其他业务成本,其他业务成本,,,UNMAPPED,
社会保险费和住房公积金,社会保险费和住房公积金,,,UNMAPPED,
折旧和摊销费,折旧和摊销费,,,UNMAPPED,
保险保障基金,保险保障基金,,,UNMAPPED,
行政办公支出,行政办公支出,,,UNMAPPED,
劳动保险费,劳动保险费,,,UNMAPPED,
电子设备运转费,电子设备运转费,,,UNMAPPED,
广告及宣传费,广告及宣传费,,,UNMAPPED,
租赁费,租赁费,,,UNMAPPED,
监管费,监管费,,,UNMAPPED,
车船使用费,车船使用费,,,UNMAPPED,
其他,其他,,,UNMAPPED,
合计,合计,,,UNMAPPED,
计入未到期责任负债的保险获取现金流量,计入未到期责任负债的保险获取现金流量,,,UNMAPPED,
计入保险服务费用,计入保险服务费用,,,UNMAPPED,
手续费及佣金支出,手续费及佣金支出,,,UNMAPPED,
业务及管理费,业务及管理费,,,UNMAPPED,
银行存款减值(转回)/损失,银行存款减值 (转回) / 损失,,,UNMAPPED,
存出资本保证金减值(转回)/损失,存出资本保证金减值 (转回) / 损失,,,UNMAPPED,
债权投资减值转回,债权投资减值转回,,,UNMAPPED,
其他债权投资减值损失,其他债权投资减值损失,,,UNMAPPED,
其他减值损失,其他减值损失,,,UNMAPPED,
递延所得税,递延所得税,,,UNMAPPED,
利润总额,利润总额,,,UNMAPPED,
按适用税率计算的所得税费用,按适用税率计算的所得税费用,,,UNMAPPED,
非应纳税收入,非应纳税收入 (注),,,UNMAPPED,
不得扣除的成本、费用和损失,不得扣除的成本、费用和损失,,,UNMAPPED,
使用前期未确认递延所得税资产的可抵扣暂时性差异,使用前期未确认递延所得税资产的可抵扣暂时性差异,,,UNMAPPED,
按实际税率计算的所得税费用,按实际税率计算的所得税费用,,,UNMAPPED,
净利润,净利润,,,UNMAPPED,
加：信用减值损失,加：信用减值损失,,,UNMAPPED,
折旧与摊销,折旧与摊销,,,UNMAPPED,
资产处置收益,资产处置收益,,,UNMAPPED,
公允价值变动收益,公允价值变动收益,,,UNMAPPED,
投资收益,投资收益,,,UNMAPPED,
利息收入,利息收入,,,UNMAPPED,
保险合同负债的增加,保险合同负债的增加,,,UNMAPPED,
其他利息支出,其他利息支出,,,UNMAPPED,
经营性应收项目的增加,经营性应收项目的增加,,,UNMAPPED,
经营性应付项目的增加,经营性应付项目的增加,,,UNMAPPED,
经营活动产生的现金流量净额,经营活动产生的现金流量净额,,,UNMAPPED,
现金及现金等价物净增加额,现金及现金等价物净增加额,,,UNMAPPED,
活期存款,活期存款,,,UNMAPPED,
结算备付金,结算备付金,,,UNMAPPED,
其他货币资金,其他货币资金,,,UNMAPPED,
一、营业收入,一、营业收入,,,UNMAPPED,
二、营业支出,二、营业支出,,,UNMAPPED,
三、营业利润,三、营业利润,,,UNMAPPED,
四、资产总额,四、资产总额,,,UNMAPPED,
五、负债总额,五、负债总额,,,UNMAPPED,
死亡率/发病率增加10%,死亡率/发病率增加10%,,,UNMAPPED,
死亡率/发病率减少10%,死亡率/发病率减少10%,,,UNMAPPED,
退保率增加10%,退保率增加10%,,,UNMAPPED,
退保率减少10%,退保率减少10%,,,UNMAPPED,
费用假设增加10%,费用假设增加10%,,,UNMAPPED,
费用假设减少10%,费用假设减少10%,,,UNMAPPED,
