row_order,row_type,parent_section,raw_item,normalized_item,unit,2024 本公司,2025 nan,nan nan
1,DETAIL,,手续费及佣金,手续费及佣金,,2117405.27,3.45,201158.0
2,DETAIL,,职工薪酬,职工薪酬,,903525.94,9.99,94983.0
3,DETAIL,,其他业务成本,其他业务成本,,489702.23,5.78,34291.0
4,DETAIL,,社会保险费和住房公积金,社会保险费和住房公积金,,309872.43,9.51,30476.0
5,DETAIL,,折旧和摊销费,折旧和摊销费,,209436.14,2.41,19637.0
6,DETAIL,,保险保障基金,保险保障基金,,118920.6,2.43,13913.0
7,DETAIL,,行政办公支出,行政办公支出,,116159.58,8.05,9670.0
8,DETAIL,,劳动保险费,劳动保险费,,68702.66,8.63,8666.0
9,DETAIL,,电子设备运转费,电子设备运转费,,49389.33,2.68,4739.0
10,DETAIL,,广告及宣传费,广告及宣传费,,47629.42,0.07,4238.0
11,DETAIL,,租赁费,租赁费,,23042.28,6.0,2888.0
12,DETAIL,,监管费,监管费,,13642.75,8.23,1711.0
13,DETAIL,,车船使用费,车船使用费,,2605.51,9.1,204.0
14,DETAIL,,其他,其他,,104735.89,8.95,11320.0
15,TOTAL,,合计,合计,,4574770.03,5.28,437902.0
16,DETAIL,,计入未到期责任负债的保险获取现金流量,计入未到期责任负债的保险获取现金流量,,3059685.49,7.03,288802.0
17,DETAIL,,计入保险服务费用,计入保险服务费用,,466892.08,6.5,52828.0
18,DETAIL,,手续费及佣金支出,手续费及佣金支出,,27162.45,8.58,6837.0
19,DETAIL,,业务及管理费,业务及管理费,,534150.7,3.52,55226.0
20,DETAIL,,其他业务成本,其他业务成本,,486879.31,9.65,34206.0
