row_order,row_type,parent_section,raw_item,normalized_item,unit,2024,2025
2,DETAIL,按费用项目,手续费及佣金,手续费及佣金,,2117405.27,2011583.45
3,DETAIL,按费用项目,职工薪酬,职工薪酬,,903525.94,949839.99
4,DETAIL,按费用项目,其他业务成本,其他业务成本,,489702.23,342915.78
5,DETAIL,按费用项目,社会保险费和住房公积金,社会保险费和住房公积金,,309872.43,304769.51
6,DETAIL,按费用项目,折旧和摊销费,折旧和摊销费,,209436.14,196372.41
7,DETAIL,按费用项目,保险保障基金,保险保障基金,,118920.6,139132.43
8,DETAIL,按费用项目,行政办公支出,行政办公支出,,116159.58,96708.05
9,DETAIL,按费用项目,劳动保险费,劳动保险费,,68702.66,86668.63
10,DETAIL,按费用项目,电子设备运转费,电子设备运转费,,49389.33,47392.68
11,DETAIL,按费用项目,广告及宣传费,广告及宣传费,,47629.42,42380.07
12,DETAIL,按费用项目,租赁费,租赁费,,23042.28,28886.0
13,DETAIL,按费用项目,监管费,监管费,,13642.75,17118.23
14,DETAIL,按费用项目,车船使用费,车船使用费,,2605.51,2049.1
15,DETAIL,按费用项目,其他,其他,,104735.89,113208.95
16,TOTAL,按费用项目,合计,合计,,4574770.03,4379025.28
18,DETAIL,可归属于保险合同组合的费用,计入未到期责任负债的保险获取现金流量,计入未到期责任负债的保险获取现金流量,,3059685.49,2888027.03
19,DETAIL,可归属于保险合同组合的费用,计入保险服务费用,计入保险服务费用,,466892.08,528286.5
21,DETAIL,不可归属于保险合同组合的费用,手续费及佣金支出,手续费及佣金支出,,27162.45,68378.58
22,DETAIL,不可归属于保险合同组合的费用,业务及管理费,业务及管理费,,534150.7,552263.52
23,DETAIL,不可归属于保险合同组合的费用,其他业务成本,其他业务成本,,486879.31,342069.65
24,DETAIL,不可归属于保险合同组合的费用,第74页银行存款减值(转回)/损失,第74页银行存款减值(转回)/损失,,194202.15,-79496.99
25,DETAIL,不可归属于保险合同组合的费用,存出资本保证金减值(转回)/损失,存出资本保证金减值(转回)/损失,,9336.61,-2734.52
26,DETAIL,不可归属于保险合同组合的费用,债权投资减值转回,债权投资减值转回,,-294035.53,-46768.75
27,DETAIL,不可归属于保险合同组合的费用,其他债权投资减值损失,其他债权投资减值损失,,694003.95,313748.11
28,DETAIL,不可归属于保险合同组合的费用,其他减值损失,其他减值损失,,3562.86,49768.68
29,TOTAL,不可归属于保险合同组合的费用,合计,合计,,607070.04,234516.53
32,DETAIL,32.所得税费用,递延所得税,递延所得税,,2270334.55,1703887.27
33,TOTAL,32.所得税费用,合计,合计,,2270334.55,1703887.27
35,DETAIL,将基于利润表的利润总额采用适用税率计算的所得税调节为所得税费用,利润总额,利润总额,,3156241.98,3375328.19
36,DETAIL,将基于利润表的利润总额采用适用税率计算的所得税调节为所得税费用,按适用税率计算的所得税费用,按适用税率计算的所得税费用,,789060.5,843832.05
37,DETAIL,将基于利润表的利润总额采用适用税率计算的所得税调节为所得税费用,非应纳税收入(注),非应纳税收入,,-358054.4,-595812.29
38,DETAIL,将基于利润表的利润总额采用适用税率计算的所得税调节为所得税费用,不得扣除的成本、费用和损失,不得扣除的成本、费用和损失,,19459.0,29224.82
39,DETAIL,将基于利润表的利润总额采用适用税率计算的所得税调节为所得税费用,使用前期未确认递延所得税资产的可抵扣暂时性差异,使用前期未确认递延所得税资产的可抵扣暂时性差异,,1819869.45,1426642.69
40,DETAIL,将基于利润表的利润总额采用适用税率计算的所得税调节为所得税费用,按实际税率计算的所得税费用,按实际税率计算的所得税费用,,2270334.55,1703887.27
