row_order,row_type,parent_section,raw_item,normalized_item,unit,2024,2025
2,DETAIL,按费用项目,手续费及佣金,手续费及佣金,,2117405.27,2011583.45
3,DETAIL,按费用项目,职工薪酬,职工薪酬,,903525.94,949839.99
4,DETAIL,按费用项目,其他业务成本,其他业务成本,,489702.23,342915.78
5,DETAIL,按费用项目,社会保险费和住房公积金,社会保险费和住房公积金,,309872.43,304769.51
6,DETAIL,按费用项目,折旧和摊销费,折旧和摊销费,,209436.14,196372.41
7,DETAIL,按费用项目,保险保障基金,保险保障基金,,118920.6,139132.43
8,DETAIL,按费用项目,行政办公支出,行政办公支出,,116159.58,96708.05
9,DETAIL,按费用项目,劳动保险费,劳动保险费,,68702.66,86668.63
10,DETAIL,按费用项目,电子设备运转费,电子设备运转费,,49389.33,47392.68
11,DETAIL,按费用项目,广告及宣传费,广告及宣传费,,47629.42,42380.07
12,DETAIL,按费用项目,租赁费,租赁费,,23042.28,28886.0
13,DETAIL,按费用项目,监管费,监管费,,13642.75,17118.23
14,DETAIL,按费用项目,车船使用费,车船使用费,,2605.51,2049.1
15,DETAIL,按费用项目,其他,其他,,104735.89,113208.95
16,TOTAL,按费用项目,合计,合计,,4574770.03,4379025.28
