row_order,row_type,parent_section,raw_item,normalized_item,unit,2021,2022
1,DETAIL,,工资及福利费,工资及福利费,,1819078893.0,1788536878.0
2,DETAIL,,使用权资产折旧,使用权资产折旧,,146556345.0,153754901.0
3,DETAIL,,无形资产摊销,无形资产摊销,,103461244.0,123487155.0
4,DETAIL,,修理及维护费用,修理及维护费用,,45206931.0,103952695.0
5,DETAIL,,提取保险保障基金,提取保险保障基金,,94734297.0,96691138.0
6,DETAIL,,资产托管费,资产托管费,,106275812.0,92444402.0
7,DETAIL,,固定资产折旧,固定资产折旧,,68760234.0,66954817.0
8,DETAIL,,租赁费用,租赁费用,,59179126.0,55367233.0
9,DETAIL,,业务活动费,业务活动费,,43598997.0,42177299.0
10,DETAIL,,长期待摊费用摊销,长期待摊费用摊销,,35502652.0,35562258.0
11,DETAIL,,专业服务费,专业服务费,,38418023.0,34700464.0
12,DETAIL,,培训费,培训费,,42309627.0,34509669.0
13,DETAIL,,通讯费,通讯费,,30938213.0,31134818.0
14,DETAIL,,广告宣传费,广告宣传费,,32713363.0,24476049.0
15,DETAIL,,业务招待费,业务招待费,,35047382.0,20437410.0
16,DETAIL,,公杂费,公杂费,,18071042.0,18938952.0
17,DETAIL,,差旅费,差旅费,,26765551.0,15413220.0
18,DETAIL,,水电费,水电费,,8814545.0,11244764.0
19,DETAIL,,租赁负债利息支出,租赁负债利息支出,,7047723.0,8315377.0
20,DETAIL,,印刷费,印刷费,,9563143.0,6616015.0
21,DETAIL,,银行结算费,银行结算费,,5520049.0,5543677.0
22,DETAIL,,会议费,会议费,,8414574.0,4444698.0
23,DETAIL,,其他税费,其他税费,,1919606.0,1016349.0
24,DETAIL,,其他,其他,,155521296.0,148325734.0
25,TOTAL,,合计,合计,,2943418668.0,2924045972.0
