row_order,row_type,parent_section,raw_item,normalized_item,unit,2024,2025
1,DETAIL,,工资及福利费,工资及福利费,元,1301135944.0,1407764109.0
2,DETAIL,,资产托管费,资产托管费,元,408559509.0,506037570.0
3,DETAIL,,资产折旧及摊销,资产折旧及摊销,元,354381397.0,349278171.0
4,DETAIL,,提取保险保障基金,提取保险保障基金,元,136221630.0,161573397.0
5,DETAIL,,运营费用,运营费用,元,107403898.0,116756888.0
6,DETAIL,,计算机相关费用,计算机相关费用,元,88268810.0,96105471.0
7,DETAIL,,业务活动费,业务活动费,元,48261133.0,57940151.0
8,DETAIL,,房屋相关费用,房屋相关费用,元,51186951.0,49371025.0
9,DETAIL,,培训费,培训费,元,54199192.0,45099246.0
10,DETAIL,,监管费,监管费,元,19363252.0,23343699.0
11,DETAIL,,广告宣传费,广告宣传费,元,27516968.0,23207487.0
12,DETAIL,,专业服务费,专业服务费,元,15571857.0,15794579.0
13,DETAIL,,差旅费,差旅费,元,16817137.0,14560402.0
14,DETAIL,,租赁费用及租赁负债利息支出,租赁费用及租赁负债利息支出,元,12082116.0,13567766.0
15,DETAIL,,业务招待费,业务招待费,元,7039509.0,5033882.0
16,DETAIL,,其他,其他,元,15446529.0,10485244.0
17,SUBTOTAL,,小计,小计,元,2663455832.0,2895919087.0
18,DETAIL,,减：当期发生的保险获取现金流量,减：当期发生的保险获取现金流量,元,-910092322.0,-951566634.0
19,DETAIL,,当期发生的其他保险履约现金流,当期发生的其他保险履约现金流,元,-1228018171.0,-1240443338.0
20,TOTAL,,合计,合计,元,525345339.0,703909115.0
21,DETAIL,,88债权投资减值损失,88债权投资减值损失,元,297295074.0,484638863.0
22,DETAIL,,其他债权投资减值损失,其他债权投资减值损失,元,-4460144.0,11094414.0
23,DETAIL,,定期存款减值损失,定期存款减值损失,元,1557660.0,275609.0
24,DETAIL,,其他信用减值损失,其他信用减值损失,元,4378349.0,2132407.0
25,TOTAL,,合计,合计,元,298770939.0,498141293.0
27,DETAIL,38.其他业务成本,结构化主体其他持有人的利息支出,结构化主体其他持有人的利息支出,元,226867992.0,641292452.0
28,DETAIL,38.其他业务成本,投资性房地产折旧及摊销,投资性房地产折旧及摊销,元,147019741.0,236881038.0
29,DETAIL,38.其他业务成本,其他,其他,元,267679021.0,125744398.0
30,TOTAL,38.其他业务成本,合计,合计,元,641566754.0,1003917888.0
34,DETAIL,本公司所得税明细如下,递延所得税,递延所得税,元,2988974540.0,2508364419.0
35,TOTAL,本公司所得税明细如下,合计,合计,元,2988974540.0,2508364419.0
37,DETAIL,所得税费用与利润总额的关系列示如下,利润总额,利润总额,元,3252663865.0,3140463810.0
38,DETAIL,所得税费用与利润总额的关系列示如下,按适用税率计算的所得税费用,按适用税率计算的所得税费用,元,813165966.0,785115953.0
39,DETAIL,所得税费用与利润总额的关系列示如下,非应纳税收入,非应纳税收入,元,-530668581.0,-660314504.0
40,DETAIL,所得税费用与利润总额的关系列示如下,不得扣除的成本、费用和损失,不得扣除的成本、费用和损失,元,38506177.0,65678626.0
41,DETAIL,所得税费用与利润总额的关系列示如下,其他,其他,元,2667970978.0,2317884344.0
42,DETAIL,所得税费用与利润总额的关系列示如下,所得税费用,所得税费用,元,2988974540.0,2508364419.0
44,DETAIL,89,不能重分类进损益的其他综合收益,不能重分类进损益的其他综合收益,元,,1.2752193011063058e+19
46,DETAIL,其他权益工具投资公允价值变,动,动,元,-2.3384253971371737e+19,1.2747927321063633e+19
49,DETAIL,不能转损益的保险合同金融变,动,动,元,,-573314.0
54,DETAIL,以公允价值计量且其变动计入,其他综合收益的债务工具信用损失准备,其他综合收益的债务工具信用损失准备,元,-2657879811096406.0,183956778183121.0
58,DETAIL,以公允价值计量且其变动计入,收益,收益,元,4.265691275219301e+25,4.344456127044827e+16
59,DETAIL,以公允价值计量且其变动计入,变动,变动,元,-1.2747927321677046e+19,4.344456127044827e+16
61,DETAIL,以公允价值计量且其变动计入,具公允价值变动,具公允价值变动,元,,3.6825302416801493e+19
64,DETAIL,以公允价值计量且其变动计入,金融变动,金融变动,元,-1.0522171321393717e+19,9.13293710430842e+16
