normalized_item,example_raw_item,canonical_item,category,mapping_status,mapping_note
工资及福利费,工资及福利费,,,UNMAPPED,
资产托管费,资产托管费,,,UNMAPPED,
资产折旧及摊销,资产折旧及摊销,,,UNMAPPED,
提取保险保障基金,提取保险保障基金,,,UNMAPPED,
运营费用,运营费用,,,UNMAPPED,
计算机相关费用,计算机相关费用,,,UNMAPPED,
业务活动费,业务活动费,,,UNMAPPED,
房屋相关费用,房屋相关费用,,,UNMAPPED,
培训费,培训费,,,UNMAPPED,
监管费,监管费,,,UNMAPPED,
广告宣传费,广告宣传费,,,UNMAPPED,
专业服务费,专业服务费,,,UNMAPPED,
差旅费,差旅费,,,UNMAPPED,
租赁费用及租赁负债利息支出,租赁费用及租赁负债利息支出,,,UNMAPPED,
业务招待费,业务招待费,,,UNMAPPED,
其他,其他,,,UNMAPPED,
小计,小计,,,UNMAPPED,
减：当期发生的保险获取现金流量,减：当期发生的保险获取现金流量,,,UNMAPPED,
当期发生的其他保险履约现金流,当期发生的其他保险履约现金流,,,UNMAPPED,
合计,合计,,,UNMAPPED,
