table_id,canonical_key,canonical_section,canonical_item,company,document_year,year,scope,restated,unit,source_count,mapping_status,conflict_status,final_value,source_rows
建信人寿业务及管理费20222025,CANON::建信人寿业务及管理费20222025::::工资及福利费,,工资及福利费,建信人寿,2022,2022.0,,False,,1,AUTO_EXACT_IDENTITY,OK,1788536878.0,建信人寿2022年报__业务及管理费__20260721T155348:p144:工资及福利费
建信人寿业务及管理费20222025,CANON::建信人寿业务及管理费20222025::::工资及福利费,,工资及福利费,建信人寿,2022,2021.0,,False,,1,AUTO_EXACT_IDENTITY,OK,1819078893.0,建信人寿2022年报__业务及管理费__20260721T155348:p144:工资及福利费
建信人寿业务及管理费20222025,CANON::建信人寿业务及管理费20222025::::使用权资产折旧,,使用权资产折旧,建信人寿,2022,2022.0,,False,,1,AUTO_EXACT_IDENTITY,OK,153754901.0,建信人寿2022年报__业务及管理费__20260721T155348:p144:使用权资产折旧
建信人寿业务及管理费20222025,CANON::建信人寿业务及管理费20222025::::使用权资产折旧,,使用权资产折旧,建信人寿,2022,2021.0,,False,,1,AUTO_EXACT_IDENTITY,OK,146556345.0,建信人寿2022年报__业务及管理费__20260721T155348:p144:使用权资产折旧
建信人寿业务及管理费20222025,CANON::建信人寿业务及管理费20222025::::无形资产摊销,,无形资产摊销,建信人寿,2022,2022.0,,False,,1,AUTO_EXACT_IDENTITY,OK,123487155.0,建信人寿2022年报__业务及管理费__20260721T155348:p144:无形资产摊销
建信人寿业务及管理费20222025,CANON::建信人寿业务及管理费20222025::::无形资产摊销,,无形资产摊销,建信人寿,2022,2021.0,,False,,1,AUTO_EXACT_IDENTITY,OK,103461244.0,建信人寿2022年报__业务及管理费__20260721T155348:p144:无形资产摊销
建信人寿业务及管理费20222025,CANON::建信人寿业务及管理费20222025::::修理及维护费用,,修理及维护费用,建信人寿,2022,2022.0,,False,,1,AUTO_EXACT_IDENTITY,OK,103952695.0,建信人寿2022年报__业务及管理费__20260721T155348:p144:修理及维护费用
建信人寿业务及管理费20222025,CANON::建信人寿业务及管理费20222025::::修理及维护费用,,修理及维护费用,建信人寿,2022,2021.0,,False,,1,AUTO_EXACT_IDENTITY,OK,45206931.0,建信人寿2022年报__业务及管理费__20260721T155348:p144:修理及维护费用
建信人寿业务及管理费20222025,CANON::建信人寿业务及管理费20222025::::提取保险保障基金,,提取保险保障基金,建信人寿,2022,2022.0,,False,,1,AUTO_EXACT_IDENTITY,OK,96691138.0,建信人寿2022年报__业务及管理费__20260721T155348:p144:提取保险保障基金
建信人寿业务及管理费20222025,CANON::建信人寿业务及管理费20222025::::提取保险保障基金,,提取保险保障基金,建信人寿,2022,2021.0,,False,,1,AUTO_EXACT_IDENTITY,OK,94734297.0,建信人寿2022年报__业务及管理费__20260721T155348:p144:提取保险保障基金
建信人寿业务及管理费20222025,CANON::建信人寿业务及管理费20222025::::资产托管费,,资产托管费,建信人寿,2022,2022.0,,False,,1,AUTO_EXACT_IDENTITY,OK,92444402.0,建信人寿2022年报__业务及管理费__20260721T155348:p144:资产托管费
建信人寿业务及管理费20222025,CANON::建信人寿业务及管理费20222025::::资产托管费,,资产托管费,建信人寿,2022,2021.0,,False,,1,AUTO_EXACT_IDENTITY,OK,106275812.0,建信人寿2022年报__业务及管理费__20260721T155348:p144:资产托管费
建信人寿业务及管理费20222025,CANON::建信人寿业务及管理费20222025::::固定资产折旧,,固定资产折旧,建信人寿,2022,2022.0,,False,,1,AUTO_EXACT_IDENTITY,OK,66954817.0,建信人寿2022年报__业务及管理费__20260721T155348:p144:固定资产折旧
建信人寿业务及管理费20222025,CANON::建信人寿业务及管理费20222025::::固定资产折旧,,固定资产折旧,建信人寿,2022,2021.0,,False,,1,AUTO_EXACT_IDENTITY,OK,68760234.0,建信人寿2022年报__业务及管理费__20260721T155348:p144:固定资产折旧
建信人寿业务及管理费20222025,CANON::建信人寿业务及管理费20222025::::租赁费用,,租赁费用,建信人寿,2022,2022.0,,False,,1,AUTO_EXACT_IDENTITY,OK,55367233.0,建信人寿2022年报__业务及管理费__20260721T155348:p144:租赁费用
建信人寿业务及管理费20222025,CANON::建信人寿业务及管理费20222025::::租赁费用,,租赁费用,建信人寿,2022,2021.0,,False,,1,AUTO_EXACT_IDENTITY,OK,59179126.0,建信人寿2022年报__业务及管理费__20260721T155348:p144:租赁费用
建信人寿业务及管理费20222025,CANON::建信人寿业务及管理费20222025::::业务活动费,,业务活动费,建信人寿,2022,2022.0,,False,,1,AUTO_EXACT_IDENTITY,OK,42177299.0,建信人寿2022年报__业务及管理费__20260721T155348:p144:业务活动费
