canonical_key,canonical_section,canonical_item,unit,建信人寿 | 2022 | 2021.0,建信人寿 | 2022 | 2022.0,建信人寿 | 2023 | 2022.0,建信人寿 | 2023 | 2023.0,建信人寿 | 2024 | 2023.0,建信人寿 | 2024 | 2024.0,建信人寿 | 2025 | 2024.0,建信人寿 | 2025 | 2025.0
CANON::业务及管理费::::工资及福利费,,工资及福利费,元,1819078893.0,1788536878.0,1788536878.0,1679050597.0,1252097039.0,1301135944.0,1301135944.0,1407764109.0
CANON::业务及管理费::::使用权资产折旧,,使用权资产折旧,元,146556345.0,153754901.0,153754901.0,147585594.0,,,,
CANON::业务及管理费::::无形资产摊销,,无形资产摊销,元,103461244.0,123487155.0,123487155.0,180577641.0,,,,
CANON::业务及管理费::::修理及维护费用,,修理及维护费用,元,45206931.0,103952695.0,103952695.0,100766153.0,,,,
CANON::业务及管理费::::提取保险保障基金,,提取保险保障基金,元,94734297.0,96691138.0,96691138.0,136823652.0,132031758.0,136221630.0,136221630.0,161573397.0
CANON::业务及管理费::::资产托管费,,资产托管费,元,106275812.0,92444402.0,92444402.0,64109388.0,310634779.0,408559509.0,408559509.0,506037570.0
CANON::业务及管理费::::固定资产折旧,,固定资产折旧,元,68760234.0,66954817.0,66954817.0,61968932.0,,,,
CANON::业务及管理费::::租赁费用,,租赁费用,元,59179126.0,55367233.0,55367233.0,56347531.0,,,,
CANON::业务及管理费::::业务活动费,,业务活动费,元,43598997.0,42177299.0,42177299.0,48214850.0,47864676.0,48261133.0,48261133.0,57940151.0
CANON::业务及管理费::::长期待摊费用摊销,,长期待摊费用摊销,元,35502652.0,35562258.0,35562258.0,27979591.0,,,,
CANON::业务及管理费::::专业服务费,,专业服务费,元,38418023.0,34700464.0,34700464.0,29561704.0,15439431.0,15571857.0,15571857.0,15794579.0
CANON::业务及管理费::::培训费,,培训费,元,42309627.0,34509669.0,34509669.0,54734995.0,53357978.0,54199192.0,54199192.0,45099246.0
CANON::业务及管理费::::通讯费,,通讯费,元,30938213.0,31134818.0,31134818.0,30732512.0,,,,
CANON::业务及管理费::::广告宣传费,,广告宣传费,元,32713363.0,24476049.0,24476049.0,26813297.0,20525688.0,27516968.0,27516968.0,23207487.0
CANON::业务及管理费::::业务招待费,,业务招待费,元,35047382.0,20437410.0,20437410.0,15837268.0,13732957.0,7039509.0,7039509.0,5033882.0
CANON::业务及管理费::::公杂费,,公杂费,元,18071042.0,18938952.0,18938952.0,17642673.0,,,,
CANON::业务及管理费::::差旅费,,差旅费,元,26765551.0,15413220.0,15413220.0,31565601.0,15874156.0,16817137.0,16817137.0,14560402.0
CANON::业务及管理费::::水电费,,水电费,元,8814545.0,11244764.0,11244764.0,12280580.0,,,,
CANON::业务及管理费::::租赁负债利息支出,,租赁负债利息支出,元,7047723.0,8315377.0,8315377.0,9606004.0,,,,
CANON::业务及管理费::::印刷费,,印刷费,元,9563143.0,6616015.0,6616015.0,5011305.0,,,,
CANON::业务及管理费::::银行结算费,,银行结算费,元,5520049.0,5543677.0,5543677.0,3602676.0,,,,
CANON::业务及管理费::::会议费,,会议费,元,8414574.0,4444698.0,4444698.0,6298689.0,,,,
CANON::业务及管理费::::其他税费,,其他税费,元,1919606.0,1016349.0,1016349.0,1428083.0,,,,
CANON::业务及管理费::::其他,,其他,元,155521296.0,148325734.0,148325734.0,146098628.0,14063067.0,15446529.0,15446529.0,10485244.0
CANON::业务及管理费::::合计,,合计,元,2943418668.0,2924045972.0,2924045972.0,2894637944.0,415219602.0,525345339.0,525345339.0,703909115.0
CANON::业务及管理费::::资产折旧及摊销,,资产折旧及摊销,元,,,,,327864954.0,354381397.0,354381397.0,349278171.0
CANON::业务及管理费::::运营费用,,运营费用,元,,,,,120201921.0,107403898.0,107403898.0,116756888.0
CANON::业务及管理费::::计算机相关费用,,计算机相关费用,元,,,,,102715057.0,88268810.0,88268810.0,96105471.0
CANON::业务及管理费::::房屋相关费用,,房屋相关费用,元,,,,,50890013.0,51186951.0,51186951.0,49371025.0
CANON::业务及管理费::::监管费,,监管费,元,,,,,16654907.0,19363252.0,19363252.0,23343699.0
CANON::业务及管理费::::租赁费用及租赁负债利息支出,,租赁费用及租赁负债利息支出,元,,,,,18918444.0,12082116.0,12082116.0,13567766.0
CANON::业务及管理费::::小计,,小计,元,,,,,2512866825.0,2663455832.0,2663455832.0,2895919087.0
CANON::业务及管理费::::减：当期发生的保险获取现金流量,,减：当期发生的保险获取现金流量,元,,,,,-954145252.0,-910092322.0,-910092322.0,-951566634.0
CANON::业务及管理费::::当期发生的其他保险履约现金流,,当期发生的其他保险履约现金流,元,,,,,-1143501971.0,-1228018171.0,-1228018171.0,-1240443338.0
