row_order,row_type,parent_section,raw_item,normalized_item,unit,2021,2022
1,DETAIL,,工资及福利费,工资及福利费,,405251811.0,366354777.0
2,DETAIL,,服务费,服务费,,128187335.0,100192954.0
3,DETAIL,,使用权资产折旧,使用权资产折旧,,85419469.0,84362233.0
4,DETAIL,,社会统筹保险费,社会统筹保险费,,74744501.0,80307620.0
5,DETAIL,,住房公积金,住房公积金,,35451755.0,38748267.0
6,DETAIL,,保险保障基金,保险保障基金,,26335143.0,29282896.0
7,DETAIL,,物业及公杂费,物业及公杂费,,27326532.0,27270111.0
8,DETAIL,,委托投资管理费,委托投资管理费,,28164036.0,19733902.0
9,DETAIL,,业务宣传费,业务宣传费,,28298546.0,16874749.0
10,DETAIL,,无形资产摊销,无形资产摊销,,14015707.0,16677074.0
11,DETAIL,,业务招待费,业务招待费,,25419815.0,15801956.0
12,DETAIL,,培训费,培训费,,16509113.0,15238883.0
13,DETAIL,,会议费,会议费,,12373546.0,10339761.0
14,DETAIL,,软件维护修理费,软件维护修理费,,8019790.0,9508847.0
15,DETAIL,,邮电费,邮电费,,8898089.0,8559527.0
16,DETAIL,,工会经费和职工教育经费,工会经费和职工教育经费,,7453815.0,8139837.0
17,DETAIL,,长期摊销费用,长期摊销费用,,7201878.0,7905396.0
18,DETAIL,,固定资产折旧,固定资产折旧,,7501736.0,7096977.0
19,DETAIL,,差旅费,差旅费,,10403769.0,5994930.0
20,DETAIL,,租赁费,租赁费,,6422408.0,2200322.0
21,DETAIL,,其他,其他,,24436129.0,38450064.0
22,TOTAL,,总计,总计,,987834923.0,909041083.0
24,DETAIL,49其他业务成本,非保险合同利息支出,非保险合同利息支出,,613305648.0,645346399.0
25,DETAIL,49其他业务成本,债券利息支出,债券利息支出,,128486137.0,199740000.0
26,DETAIL,49其他业务成本,租赁负债利息支出,租赁负债利息支出,,3405851.0,3335195.0
27,DETAIL,49其他业务成本,非保险合同手续费及佣金支出,非保险合同手续费及佣金支出,,839988.0,351804.0
28,DETAIL,49其他业务成本,其他,其他,,903283.0,1270339.0
29,TOTAL,49其他业务成本,总计,总计,,746940907.0,850043737.0
30,DETAIL,49其他业务成本,当期所得税,当期所得税,,143675459.0,10055483.0
31,DETAIL,49其他业务成本,递延所得税,递延所得税,,-50725505.0,-145436807.0
32,DETAIL,49其他业务成本,以前年度汇算清缴,以前年度汇算清缴,,-13441326.0,-66889596.0
33,TOTAL,49其他业务成本,总计,总计,,79508628.0,-202270920.0
35,DETAIL,所得税费用与利润总额的调节表如下,利润总额,利润总额,,919523592.0,-549924073.0
36,DETAIL,所得税费用与利润总额的调节表如下,按适用税率计算的所得税费用,按适用税率计算的所得税费用,,229880898.0,-137481018.0
37,DETAIL,所得税费用与利润总额的调节表如下,不可扣除的费用,不可扣除的费用,,5292571.0,5314194.0
38,DETAIL,所得税费用与利润总额的调节表如下,非应纳税收入,非应纳税收入,,-127691169.0,-458873509.0
40,DETAIL,当期未确认递延所得税资产的可抵扣,亏损,亏损,,,458873509.0
42,DETAIL,使用前期未确认递延所得税资产的,可抵扣暂时性差异,可抵扣暂时性差异,,-14532346.0,-3214500.0
43,DETAIL,使用前期未确认递延所得税资产的,汇算清缴差异,汇算清缴差异,,-13441326.0,-66889596.0
44,TOTAL,使用前期未确认递延所得税资产的,总计,总计,,79508628.0,-202270920.0
