row_order,row_type,parent_section,raw_item,normalized_item,unit,2023 已重述,2024
1,DETAIL,,工资及福利费,工资及福利费,,400219248.0,450070257.0
2,DETAIL,,服务费,服务费,,93215390.0,105996040.0
3,DETAIL,,社会统筹保险费,社会统筹保险费,,86485664.0,87610784.0
4,DETAIL,,使用权资产折旧,使用权资产折旧,,83525836.0,82793640.0
5,DETAIL,,保险保障基金,保险保障基金,,69255914.0,58239088.0
6,DETAIL,,住房公积金,住房公积金,,41809403.0,43403173.0
7,DETAIL,,会议费,会议费,,22484904.0,26676352.0
8,DETAIL,,物业及公杂费,物业及公杂费,,23826140.0,25639882.0
9,DETAIL,,无形资产摊销,无形资产摊销,,20520814.0,25027417.0
10,DETAIL,,业务宣传费,业务宣传费,,15961738.0,23775248.0
11,DETAIL,,委托投资管理费,委托投资管理费,,22752804.0,21098576.0
12,DETAIL,,培训费,培训费,,19207847.0,16806153.0
13,DETAIL,,差旅费,差旅费,,13665317.0,13437180.0
14,DETAIL,,软件维护修理费,软件维护修理费,,76475547558202.0,10086101.0
15,DETAIL,,业务招待费,业务招待费,,892743811882469.0,
16,DETAIL,,工会经费和职工教育经费育经费,工会经费和职工教育经费育经费,,8511823.0,8315811.0
17,DETAIL,,邮电费,邮电费,,786848310130550.0,
18,DETAIL,,长期摊销费用,长期摊销费用,,6867256.0,8473458.0
19,DETAIL,,固定资产折旧,固定资产折旧,,6382703.0,6502953.0
20,DETAIL,,租赁费,租赁费,,626391.0,1065081.0
21,DETAIL,,其他,其他,,29810673.0,31227974.0
22,DETAIL,,减：当期发生的保险获取现金流量,减：当期发生的保险获取现金流量,,-470586828.0,-558981090.0
23,DETAIL,,当期发生的其他保险履约现金流,当期发生的其他保险履约现金流,,-379523893.0,-361553814.0
24,TOTAL,,合计,合计,,148691678.0,140537055.0
