row_order,row_type,parent_section,raw_item,normalized_item,unit,2022,2023
1,DETAIL,,职工薪酬,职工薪酬,,967078.47,993802.5
2,DETAIL,,社会保险费和住房公积金,社会保险费和住房公积金,,293919.25,293189.24
3,DETAIL,,折旧和摊销费,折旧和摊销费,,231361.65,203068.18
4,DETAIL,,行政办公支出,行政办公支出,,125801.71,149446.87
5,DETAIL,,保险保障基金,保险保障基金,,55077.7,89744.97
6,DETAIL,,电子设备运转费,电子设备运转费,,36314.97,62795.24
7,DETAIL,,广告及宣传费,广告及宣传费,,49877.52,59859.04
8,DETAIL,,租赁费,租赁费,,23508.17,21362.96
9,DETAIL,,监管费,监管费,,13692.9,15134.3
10,DETAIL,,车船使用费,车船使用费,,2880.27,3012.62
11,DETAIL,,其他,其他,,99003.59,97452.32
12,TOTAL,,合计,合计,,1898516.2,1988868.24
13,DETAIL,,56非保险合同支出,56非保险合同支出,,540061.87,545440.78
14,DETAIL,,债券利息支出,债券利息支出,,274720.69,122320.23
15,DETAIL,,卖出回购金融资产款利息支出,卖出回购金融资产款利息支出,,52251.61,47890.41
16,DETAIL,,租赁负债利息,租赁负债利息,,8584.18,7091.92
17,DETAIL,,其他,其他,,2875.09,2065.12
18,TOTAL,,合计,合计,,878493.44,724808.46
21,DETAIL,39.所得税费用,递延所得税,递延所得税,,,-89475.46
22,TOTAL,39.所得税费用,合计,合计,,,-89475.46
24,DETAIL,将基于利润表的利润总额采用适用税率计算的所得税调节为所得税费用,利润总额,利润总额,,109764.3,94942.13
25,DETAIL,将基于利润表的利润总额采用适用税率计算的所得税调节为所得税费用,按适用税率计算的所得税费用,按适用税率计算的所得税费用,,27441.08,23735.53
26,DETAIL,将基于利润表的利润总额采用适用税率计算的所得税调节为所得税费用,非应纳税收入(注),非应纳税收入,,-292666.94,-322493.1
27,DETAIL,将基于利润表的利润总额采用适用税率计算的所得税调节为所得税费用,不得扣除的成本、费用和损失,不得扣除的成本、费用和损失,,2333.55,23595.93
28,DETAIL,将基于利润表的利润总额采用适用税率计算的所得税调节为所得税费用,当期未确认的可抵扣暂时性差异及可抵扣亏损的影响,当期未确认的可抵扣暂时性差异及可抵扣亏损的影响,,262892.31,222568.88
29,DETAIL,将基于利润表的利润总额采用适用税率计算的所得税调节为所得税费用,使用前期未确认递延所得税资产的可抵扣暂时性差异,使用前期未确认递延所得税资产的可抵扣暂时性差异,,,-36882.7
30,DETAIL,将基于利润表的利润总额采用适用税率计算的所得税调节为所得税费用,按实际税率计算的所得税费用,按实际税率计算的所得税费用,,,-89475.46
