row_order,row_type,parent_section,raw_item,normalized_item,unit,2022,2023
1,DETAIL,,职工薪酬,职工薪酬,,967078.47,993802.5
2,DETAIL,,社会保险费和住房公积金,社会保险费和住房公积金,,293919.25,293189.24
3,DETAIL,,折旧和摊销费,折旧和摊销费,,231361.65,203068.18
4,DETAIL,,行政办公支出,行政办公支出,,125801.71,149446.87
5,DETAIL,,保险保障基金,保险保障基金,,55077.7,89744.97
6,DETAIL,,电子设备运转费,电子设备运转费,,36314.97,62795.24
7,DETAIL,,广告及宣传费,广告及宣传费,,49877.52,59859.04
8,DETAIL,,租赁费,租赁费,,23508.17,21362.96
9,DETAIL,,监管费,监管费,,13692.9,15134.3
10,DETAIL,,车船使用费,车船使用费,,2880.27,3012.62
11,DETAIL,,其他,其他,,99003.59,97452.32
12,TOTAL,,合计,合计,,1898516.2,1988868.24
