row_order,row_type,parent_section,raw_item,normalized_item,unit,2023 已重述,2024
2,DETAIL,按费用项目,手续费及佣金,手续费及佣金,,2547501.92,2117405.27
3,DETAIL,按费用项目,职工薪酬,职工薪酬,,925567.65,903525.94
4,DETAIL,按费用项目,其他业务成本,其他业务成本,,382701.34,489702.23
5,DETAIL,按费用项目,社会保险费和住房公积金,社会保险费和住房公积金,,293189.24,309872.43
6,DETAIL,按费用项目,折旧和摊销费,折旧和摊销费,,203068.18,209436.14
7,DETAIL,按费用项目,行政办公支出,行政办公支出,,149446.87,116159.58
8,DETAIL,按费用项目,劳动保险费,劳动保险费,,68234.85,68702.66
9,DETAIL,按费用项目,保险保障基金,保险保障基金,,89744.97,118920.6
10,DETAIL,按费用项目,电子设备运转费,电子设备运转费,,62795.24,49389.33
11,DETAIL,按费用项目,租赁费,租赁费,,21362.96,23042.28
12,DETAIL,按费用项目,广告及宣传费,广告及宣传费,,59859.04,47629.42
13,DETAIL,按费用项目,监管费,监管费,,15134.3,13642.75
14,DETAIL,按费用项目,车船使用费,车船使用费,,3012.62,2605.51
15,DETAIL,按费用项目,其他,其他,,97452.32,104735.89
16,TOTAL,按费用项目,合计,合计,,4919071.5,4574770.03
18,DETAIL,可归属于保险合同组合的费用,计入未到期责任负债的保险获取现金流量,计入未到期责任负债的保险获取现金流量,,3445776.63,3059685.49
19,DETAIL,可归属于保险合同组合的费用,计入保险服务费用,计入保险服务费用,,547543.94,466892.08
21,DETAIL,不可归属于保险合同组合的费用,手续费及佣金支出,手续费及佣金支出,,22165.92,27162.45
22,DETAIL,不可归属于保险合同组合的费用,业务及管理费,业务及管理费,,523182.84,534150.7
23,DETAIL,不可归属于保险合同组合的费用,其他业务成本,其他业务成本,,380402.17,486879.31
