canonical_order,row_type,row_level,parent_section,canonical_section,canonical_item,unit,canonical_key,order_source,农银人寿 | 2022 | 2021.0,农银人寿 | 2022 | 2022.0,农银人寿 | 2023 | 2022.0,农银人寿 | 2023 | 2023.0,农银人寿 | 2024 | 2023.0 | 已重述,农银人寿 | 2024 | 2024.0,农银人寿 | 2025 | 2024.0,农银人寿 | 2025 | 2025.0
1,DETAIL,0,nan,,职工薪酬,,CANON::业务及管理费::::职工薪酬,REFERENCE:农银人寿2022年报__业务及管理费__20260721T161445,877505.1,902706.32,967078.47,993802.5,,,,
2,DETAIL,0,nan,,社会保险费,,RAW::业务及管理费::::社会保险费,REFERENCE:农银人寿2022年报__业务及管理费__20260721T161445,261593.51,293919.25,,,,,,
3,DETAIL,0,nan,,社会保险费和住房公积金,,RAW::业务及管理费::::社会保险费和住房公积金,INSERTED_FROM:农银人寿2023年报__业务及管理费__20260721T161604,,,293919.25,293189.24,,,,
4,DETAIL,0,nan,,折旧和摊销费,,CANON::业务及管理费::::折旧和摊销费,REFERENCE:农银人寿2022年报__业务及管理费__20260721T161445,204498.59,231361.65,231361.65,203068.18,,,,
5,DETAIL,0,nan,,行政办公支出,,CANON::业务及管理费::::行政办公支出,REFERENCE:农银人寿2022年报__业务及管理费__20260721T161445,159913.01,125801.71,125801.71,149446.87,,,,
6,DETAIL,0,nan,,劳动保险费,,RAW::业务及管理费::::劳动保险费,REFERENCE:农银人寿2022年报__业务及管理费__20260721T161445,55962.92,64372.15,,,,,,
7,DETAIL,0,nan,,保险保障基金,,CANON::业务及管理费::::保险保障基金,REFERENCE:农银人寿2022年报__业务及管理费__20260721T161445,46687.24,55077.7,55077.7,89744.97,,,,
8,DETAIL,0,nan,,广告及宣传费,,CANON::业务及管理费::::广告及宣传费,REFERENCE:农银人寿2022年报__业务及管理费__20260721T161445,39055.91,49877.52,49877.52,59859.04,,,,
9,DETAIL,0,nan,,电子设备运转费,,CANON::业务及管理费::::电子设备运转费,REFERENCE:农银人寿2022年报__业务及管理费__20260721T161445,31050.87,36314.97,36314.97,62795.24,,,,
10,DETAIL,0,nan,,租赁费,,CANON::业务及管理费::::租赁费,REFERENCE:农银人寿2022年报__业务及管理费__20260721T161445,28256.84,23508.17,23508.17,21362.96,,,,
11,DETAIL,0,nan,,监管费,,CANON::业务及管理费::::监管费,REFERENCE:农银人寿2022年报__业务及管理费__20260721T161445,12466.15,13692.9,13692.9,15134.3,,,,
12,DETAIL,0,nan,,车船使用费,,CANON::业务及管理费::::车船使用费,REFERENCE:农银人寿2022年报__业务及管理费__20260721T161445,3259.73,2880.27,2880.27,3012.62,,,,
13,DETAIL,0,nan,,其他,,CANON::业务及管理费::::其他,REFERENCE:农银人寿2022年报__业务及管理费__20260721T161445,103903.67,99003.59,99003.59,97452.32,,,,
14,TOTAL,0,nan,,合计,,CANON::业务及管理费::::合计,REFERENCE:农银人寿2022年报__业务及管理费__20260721T161445,1824153.54,1898516.2,1898516.2,1988868.24,,,,
16,DETAIL,1,按费用项目,按费用项目,手续费及佣金,,CANON::业务及管理费::按费用项目::手续费及佣金,INSERTED_FROM:农银人寿2024年报__业务及管理费__20260721T161644,,,,,2547501.92,2117405.27,2117405.27,2011583.45
17,DETAIL,1,按费用项目,按费用项目,职工薪酬,,CANON::业务及管理费::按费用项目::职工薪酬,INSERTED_FROM:农银人寿2024年报__业务及管理费__20260721T161644,,,,,925567.65,903525.94,903525.94,949839.99
