source_key,parent_section,normalized_item,occurrences,capture_count,companies,example_raw_items,suggested_canonical_section,suggested_canonical_item,suggestion_score,canonical_section,canonical_item,category,mapping_status,mapping_note
||职工薪酬,,职工薪酬,4,2,农银人寿,职工薪酬,,,,,职工薪酬,,AUTO_EXACT_IDENTITY,
||社会保险费,,社会保险费,2,1,农银人寿,社会保险费,,,,,社会保险费,,UNMAPPED_PRESERVED,
||折旧和摊销费,,折旧和摊销费,4,2,农银人寿,折旧和摊销费,,,,,折旧和摊销费,,AUTO_EXACT_IDENTITY,
||行政办公支出,,行政办公支出,4,2,农银人寿,行政办公支出,,,,,行政办公支出,,AUTO_EXACT_IDENTITY,
||劳动保险费,,劳动保险费,2,1,农银人寿,劳动保险费,,,,,劳动保险费,,UNMAPPED_PRESERVED,
||保险保障基金,,保险保障基金,4,2,农银人寿,保险保障基金,,,,,保险保障基金,,AUTO_EXACT_IDENTITY,
||广告及宣传费,,广告及宣传费,4,2,农银人寿,广告及宣传费,,,,,广告及宣传费,,AUTO_EXACT_IDENTITY,
||电子设备运转费,,电子设备运转费,4,2,农银人寿,电子设备运转费,,,,,电子设备运转费,,AUTO_EXACT_IDENTITY,
||租赁费,,租赁费,4,2,农银人寿,租赁费,,,,,租赁费,,AUTO_EXACT_IDENTITY,
||监管费,,监管费,4,2,农银人寿,监管费,,,,,监管费,,AUTO_EXACT_IDENTITY,
||车船使用费,,车船使用费,4,2,农银人寿,车船使用费,,,,,车船使用费,,AUTO_EXACT_IDENTITY,
||其他,,其他,4,2,农银人寿,其他,,,,,其他,,AUTO_EXACT_IDENTITY,
||合计,,合计,4,2,农银人寿,合计,,,,,合计,,AUTO_EXACT_IDENTITY,
||社会保险费和住房公积金,,社会保险费和住房公积金,2,1,农银人寿,社会保险费和住房公积金,,,,,社会保险费和住房公积金,,UNMAPPED_PRESERVED,
按费用项目||手续费及佣金,按费用项目,手续费及佣金,4,2,农银人寿,手续费及佣金,按费用项目,,,按费用项目,手续费及佣金,,AUTO_EXACT_IDENTITY,
按费用项目||职工薪酬,按费用项目,职工薪酬,4,2,农银人寿,职工薪酬,按费用项目,,,按费用项目,职工薪酬,,AUTO_EXACT_IDENTITY,
按费用项目||其他业务成本,按费用项目,其他业务成本,4,2,农银人寿,其他业务成本,按费用项目,,,按费用项目,其他业务成本,,AUTO_EXACT_IDENTITY,
按费用项目||社会保险费和住房公积金,按费用项目,社会保险费和住房公积金,4,2,农银人寿,社会保险费和住房公积金,按费用项目,,,按费用项目,社会保险费和住房公积金,,AUTO_EXACT_IDENTITY,
按费用项目||折旧和摊销费,按费用项目,折旧和摊销费,4,2,农银人寿,折旧和摊销费,按费用项目,,,按费用项目,折旧和摊销费,,AUTO_EXACT_IDENTITY,
按费用项目||行政办公支出,按费用项目,行政办公支出,4,2,农银人寿,行政办公支出,按费用项目,,,按费用项目,行政办公支出,,AUTO_EXACT_IDENTITY,
按费用项目||劳动保险费,按费用项目,劳动保险费,4,2,农银人寿,劳动保险费,按费用项目,,,按费用项目,劳动保险费,,AUTO_EXACT_IDENTITY,
按费用项目||保险保障基金,按费用项目,保险保障基金,4,2,农银人寿,保险保障基金,按费用项目,,,按费用项目,保险保障基金,,AUTO_EXACT_IDENTITY,
按费用项目||电子设备运转费,按费用项目,电子设备运转费,4,2,农银人寿,电子设备运转费,按费用项目,,,按费用项目,电子设备运转费,,AUTO_EXACT_IDENTITY,
按费用项目||租赁费,按费用项目,租赁费,4,2,农银人寿,租赁费,按费用项目,,,按费用项目,租赁费,,AUTO_EXACT_IDENTITY,
按费用项目||广告及宣传费,按费用项目,广告及宣传费,4,2,农银人寿,广告及宣传费,按费用项目,,,按费用项目,广告及宣传费,,AUTO_EXACT_IDENTITY,
按费用项目||监管费,按费用项目,监管费,4,2,农银人寿,监管费,按费用项目,,,按费用项目,监管费,,AUTO_EXACT_IDENTITY,
按费用项目||车船使用费,按费用项目,车船使用费,4,2,农银人寿,车船使用费,按费用项目,,,按费用项目,车船使用费,,AUTO_EXACT_IDENTITY,
按费用项目||其他,按费用项目,其他,4,2,农银人寿,其他,按费用项目,,,按费用项目,其他,,AUTO_EXACT_IDENTITY,
按费用项目||合计,按费用项目,合计,4,2,农银人寿,合计,按费用项目,,,按费用项目,合计,,AUTO_EXACT_IDENTITY,
