canonical_order,canonical_key,row_type,row_level,canonical_section,parent_section,canonical_item,order_source,reference_capture_run_id,reference_row_order,metadata_source_capture_run_id
1,CANON::业务及管理费::::职工薪酬,DETAIL,0,,nan,职工薪酬,REFERENCE:农银人寿2022年报__业务及管理费__20260721T161445,农银人寿2022年报__业务及管理费__20260721T161445,1.0,农银人寿2022年报__业务及管理费__20260721T161445
2,RAW::业务及管理费::::社会保险费,DETAIL,0,,nan,社会保险费,REFERENCE:农银人寿2022年报__业务及管理费__20260721T161445,农银人寿2022年报__业务及管理费__20260721T161445,2.0,农银人寿2022年报__业务及管理费__20260721T161445
3,RAW::业务及管理费::::社会保险费和住房公积金,DETAIL,0,,nan,社会保险费和住房公积金,INSERTED_FROM:农银人寿2023年报__业务及管理费__20260721T161604,农银人寿2022年报__业务及管理费__20260721T161445,,农银人寿2023年报__业务及管理费__20260721T161604
4,CANON::业务及管理费::::折旧和摊销费,DETAIL,0,,nan,折旧和摊销费,REFERENCE:农银人寿2022年报__业务及管理费__20260721T161445,农银人寿2022年报__业务及管理费__20260721T161445,3.0,农银人寿2022年报__业务及管理费__20260721T161445
5,CANON::业务及管理费::::行政办公支出,DETAIL,0,,nan,行政办公支出,REFERENCE:农银人寿2022年报__业务及管理费__20260721T161445,农银人寿2022年报__业务及管理费__20260721T161445,4.0,农银人寿2022年报__业务及管理费__20260721T161445
6,RAW::业务及管理费::::劳动保险费,DETAIL,0,,nan,劳动保险费,REFERENCE:农银人寿2022年报__业务及管理费__20260721T161445,农银人寿2022年报__业务及管理费__20260721T161445,5.0,农银人寿2022年报__业务及管理费__20260721T161445
7,CANON::业务及管理费::::保险保障基金,DETAIL,0,,nan,保险保障基金,REFERENCE:农银人寿2022年报__业务及管理费__20260721T161445,农银人寿2022年报__业务及管理费__20260721T161445,6.0,农银人寿2022年报__业务及管理费__20260721T161445
8,CANON::业务及管理费::::广告及宣传费,DETAIL,0,,nan,广告及宣传费,REFERENCE:农银人寿2022年报__业务及管理费__20260721T161445,农银人寿2022年报__业务及管理费__20260721T161445,7.0,农银人寿2022年报__业务及管理费__20260721T161445
9,CANON::业务及管理费::::电子设备运转费,DETAIL,0,,nan,电子设备运转费,REFERENCE:农银人寿2022年报__业务及管理费__20260721T161445,农银人寿2022年报__业务及管理费__20260721T161445,8.0,农银人寿2022年报__业务及管理费__20260721T161445
10,CANON::业务及管理费::::租赁费,DETAIL,0,,nan,租赁费,REFERENCE:农银人寿2022年报__业务及管理费__20260721T161445,农银人寿2022年报__业务及管理费__20260721T161445,9.0,农银人寿2022年报__业务及管理费__20260721T161445
