canonical_order,row_type,row_level,parent_section,canonical_section,canonical_item,unit,canonical_key,order_source,交银人寿 | 2022 | 2021.0,交银人寿 | 2022 | 2022.0,交银人寿 | 2023 | 2022.0,交银人寿 | 2023 | 2023.0,交银人寿 | 2024 | 2023.0 | 已重述,交银人寿 | 2024 | 2024.0,交银人寿 | 2025 | 2024.0,交银人寿 | 2025 | 2025.0
6,DETAIL,0,nan,,保险保障基金,,CANON::交银人寿20222025业务及管理费::::保险保障基金,REFERENCE:交银人寿2022年报__业务及管理费__20260721T162524,26335143.0,29282896.0,29282896.0,69255914.0,69255914.0,58239088.0,58239088.0,60178186.0
9,DETAIL,0,nan,,业务宣传费,,CANON::交银人寿20222025业务及管理费::::业务宣传费,REFERENCE:交银人寿2022年报__业务及管理费__20260721T162524,28298546.0,,,,,23775248.0,23775248.0,
11,DETAIL,0,nan,,业务招待费,,CANON::交银人寿20222025业务及管理费::::业务招待费,REFERENCE:交银人寿2022年报__业务及管理费__20260721T162524,,,,,,,,3725574.0
12,DETAIL,0,nan,,培训费,,CANON::交银人寿20222025业务及管理费::::培训费,REFERENCE:交银人寿2022年报__业务及管理费__20260721T162524,16509113.0,15238883.0,15238883.0,19207847.0,19207847.0,16806153.0,16806153.0,10216592.0
14,DETAIL,0,nan,,软件维护修理费,,CANON::交银人寿20222025业务及管理费::::软件维护修理费,REFERENCE:交银人寿2022年报__业务及管理费__20260721T162524,,,,,76475547558202.0,,,
15,DETAIL,0,nan,,工会经费和职工教育经费育经费,,RAW::交银人寿20222025业务及管理费::::工会经费和职工教育经费育经费,INSERTED_FROM:交银人寿2024年报__业务及管理费__20260721T162518,,,,,,8315811.0,,
16,DETAIL,0,nan,,邮电费,,CANON::交银人寿20222025业务及管理费::::邮电费,REFERENCE:交银人寿2022年报__业务及管理费__20260721T162524,8898089.0,8559527.0,8559527.0,,,,,
18,DETAIL,0,nan,,长期摊销费用,,CANON::交银人寿20222025业务及管理费::::长期摊销费用,REFERENCE:交银人寿2022年报__业务及管理费__20260721T162524,,7905396.0,7905396.0,8473458.0,,8473458.0,6867256.0,
19,DETAIL,0,nan,,固定资产折旧,,CANON::交银人寿20222025业务及管理费::::固定资产折旧,REFERENCE:交银人寿2022年报__业务及管理费__20260721T162524,,,,,,6502953.0,,
21,DETAIL,0,nan,,租赁费,,CANON::交银人寿20222025业务及管理费::::租赁费,REFERENCE:交银人寿2022年报__业务及管理费__20260721T162524,,,,,,1065081.0,,
23,DETAIL,0,nan,,减：当期发生的保险获取现金流量,,CANON::交银人寿20222025业务及管理费::::减：当期发生的保险获取现金流量,INSERTED_FROM:交银人寿2024年报__业务及管理费__20260721T162518,,,,,-470586828.0,-558981090.0,-558981090.0,-499786509.0
24,DETAIL,0,nan,,当期发生的其他保险履约现金流,,CANON::交银人寿20222025业务及管理费::::当期发生的其他保险履约现金流,INSERTED_FROM:交银人寿2024年报__业务及管理费__20260721T162518,,,,,-379523893.0,-361553814.0,-361553814.0,-425932281.0
