canonical_order,canonical_key,row_type,row_level,canonical_section,parent_section,canonical_item,order_source,reference_capture_run_id,reference_row_order,metadata_source_capture_run_id
1,CANON::交银人寿20222025业务及管理费::::工资及福利费,DETAIL,0,,nan,工资及福利费,REFERENCE:交银人寿2022年报__业务及管理费__20260721T162524,交银人寿2022年报__业务及管理费__20260721T162524,1.0,交银人寿2022年报__业务及管理费__20260721T162524
2,CANON::交银人寿20222025业务及管理费::::服务费,DETAIL,0,,nan,服务费,REFERENCE:交银人寿2022年报__业务及管理费__20260721T162524,交银人寿2022年报__业务及管理费__20260721T162524,2.0,交银人寿2022年报__业务及管理费__20260721T162524
3,CANON::交银人寿20222025业务及管理费::::使用权资产折旧,DETAIL,0,,nan,使用权资产折旧,REFERENCE:交银人寿2022年报__业务及管理费__20260721T162524,交银人寿2022年报__业务及管理费__20260721T162524,3.0,交银人寿2022年报__业务及管理费__20260721T162524
4,CANON::交银人寿20222025业务及管理费::::社会统筹保险费,DETAIL,0,,nan,社会统筹保险费,REFERENCE:交银人寿2022年报__业务及管理费__20260721T162524,交银人寿2022年报__业务及管理费__20260721T162524,4.0,交银人寿2022年报__业务及管理费__20260721T162524
5,CANON::交银人寿20222025业务及管理费::::住房公积金,DETAIL,0,,nan,住房公积金,REFERENCE:交银人寿2022年报__业务及管理费__20260721T162524,交银人寿2022年报__业务及管理费__20260721T162524,5.0,交银人寿2022年报__业务及管理费__20260721T162524
6,CANON::交银人寿20222025业务及管理费::::保险保障基金,DETAIL,0,,nan,保险保障基金,REFERENCE:交银人寿2022年报__业务及管理费__20260721T162524,交银人寿2022年报__业务及管理费__20260721T162524,6.0,交银人寿2022年报__业务及管理费__20260721T162524
7,CANON::交银人寿20222025业务及管理费::::物业及公杂费,DETAIL,0,,nan,物业及公杂费,REFERENCE:交银人寿2022年报__业务及管理费__20260721T162524,交银人寿2022年报__业务及管理费__20260721T162524,7.0,交银人寿2022年报__业务及管理费__20260721T162524
8,CANON::交银人寿20222025业务及管理费::::委托投资管理费,DETAIL,0,,nan,委托投资管理费,REFERENCE:交银人寿2022年报__业务及管理费__20260721T162524,交银人寿2022年报__业务及管理费__20260721T162524,8.0,交银人寿2022年报__业务及管理费__20260721T162524
9,CANON::交银人寿20222025业务及管理费::::业务宣传费,DETAIL,0,,nan,业务宣传费,REFERENCE:交银人寿2022年报__业务及管理费__20260721T162524,交银人寿2022年报__业务及管理费__20260721T162524,9.0,交银人寿2022年报__业务及管理费__20260721T162524
10,CANON::交银人寿20222025业务及管理费::::无形资产摊销,DETAIL,0,,nan,无形资产摊销,REFERENCE:交银人寿2022年报__业务及管理费__20260721T162524,交银人寿2022年报__业务及管理费__20260721T162524,10.0,交银人寿2022年报__业务及管理费__20260721T162524
11,CANON::交银人寿20222025业务及管理费::::业务招待费,DETAIL,0,,nan,业务招待费,REFERENCE:交银人寿2022年报__业务及管理费__20260721T162524,交银人寿2022年报__业务及管理费__20260721T162524,11.0,交银人寿2022年报__业务及管理费__20260721T162524
12,CANON::交银人寿20222025业务及管理费::::培训费,DETAIL,0,,nan,培训费,REFERENCE:交银人寿2022年报__业务及管理费__20260721T162524,交银人寿2022年报__业务及管理费__20260721T162524,12.0,交银人寿2022年报__业务及管理费__20260721T162524
13,CANON::交银人寿20222025业务及管理费::::会议费,DETAIL,0,,nan,会议费,REFERENCE:交银人寿2022年报__业务及管理费__20260721T162524,交银人寿2022年报__业务及管理费__20260721T162524,13.0,交银人寿2022年报__业务及管理费__20260721T162524
14,CANON::交银人寿20222025业务及管理费::::软件维护修理费,DETAIL,0,,nan,软件维护修理费,REFERENCE:交银人寿2022年报__业务及管理费__20260721T162524,交银人寿2022年报__业务及管理费__20260721T162524,14.0,交银人寿2022年报__业务及管理费__20260721T162524
15,RAW::交银人寿20222025业务及管理费::::工会经费和职工教育经费育经费,DETAIL,0,,nan,工会经费和职工教育经费育经费,INSERTED_FROM:交银人寿2024年报__业务及管理费__20260721T162518,交银人寿2022年报__业务及管理费__20260721T162524,,交银人寿2024年报__业务及管理费__20260721T162518
16,CANON::交银人寿20222025业务及管理费::::邮电费,DETAIL,0,,nan,邮电费,REFERENCE:交银人寿2022年报__业务及管理费__20260721T162524,交银人寿2022年报__业务及管理费__20260721T162524,15.0,交银人寿2022年报__业务及管理费__20260721T162524
17,CANON::交银人寿20222025业务及管理费::::工会经费和职工教育经费,DETAIL,0,,nan,工会经费和职工教育经费,REFERENCE:交银人寿2022年报__业务及管理费__20260721T162524,交银人寿2022年报__业务及管理费__20260721T162524,16.0,交银人寿2022年报__业务及管理费__20260721T162524
18,CANON::交银人寿20222025业务及管理费::::长期摊销费用,DETAIL,0,,nan,长期摊销费用,REFERENCE:交银人寿2022年报__业务及管理费__20260721T162524,交银人寿2022年报__业务及管理费__20260721T162524,17.0,交银人寿2022年报__业务及管理费__20260721T162524
19,CANON::交银人寿20222025业务及管理费::::固定资产折旧,DETAIL,0,,nan,固定资产折旧,REFERENCE:交银人寿2022年报__业务及管理费__20260721T162524,交银人寿2022年报__业务及管理费__20260721T162524,18.0,交银人寿2022年报__业务及管理费__20260721T162524
20,CANON::交银人寿20222025业务及管理费::::差旅费,DETAIL,0,,nan,差旅费,REFERENCE:交银人寿2022年报__业务及管理费__20260721T162524,交银人寿2022年报__业务及管理费__20260721T162524,19.0,交银人寿2022年报__业务及管理费__20260721T162524
21,CANON::交银人寿20222025业务及管理费::::租赁费,DETAIL,0,,nan,租赁费,REFERENCE:交银人寿2022年报__业务及管理费__20260721T162524,交银人寿2022年报__业务及管理费__20260721T162524,20.0,交银人寿2022年报__业务及管理费__20260721T162524
22,CANON::交银人寿20222025业务及管理费::::其他,DETAIL,0,,nan,其他,REFERENCE:交银人寿2022年报__业务及管理费__20260721T162524,交银人寿2022年报__业务及管理费__20260721T162524,21.0,交银人寿2022年报__业务及管理费__20260721T162524
23,CANON::交银人寿20222025业务及管理费::::减：当期发生的保险获取现金流量,DETAIL,0,,nan,减：当期发生的保险获取现金流量,INSERTED_FROM:交银人寿2024年报__业务及管理费__20260721T162518,交银人寿2022年报__业务及管理费__20260721T162524,,交银人寿2024年报__业务及管理费__20260721T162518
24,CANON::交银人寿20222025业务及管理费::::当期发生的其他保险履约现金流,DETAIL,0,,nan,当期发生的其他保险履约现金流,INSERTED_FROM:交银人寿2024年报__业务及管理费__20260721T162518,交银人寿2022年报__业务及管理费__20260721T162524,,交银人寿2024年报__业务及管理费__20260721T162518
25,RAW::交银人寿20222025业务及管理费::::合计,TOTAL,0,,nan,合计,INSERTED_FROM:交银人寿2024年报__业务及管理费__20260721T162518,交银人寿2022年报__业务及管理费__20260721T162524,,交银人寿2024年报__业务及管理费__20260721T162518
26,CANON::交银人寿20222025业务及管理费::::合计,TOTAL,0,,nan,合计,REFERENCE:交银人寿2022年报__业务及管理费__20260721T162524,交银人寿2022年报__业务及管理费__20260721T162524,22.0,交银人寿2022年报__业务及管理费__20260721T162524
