row_order,row_type,parent_section,raw_item,normalized_item,unit,2023 本公司,2023 本集团,2024 本公司,2024 本集团
1,DETAIL,,保户投资款利息支出,保户投资款利息支出,元,822161998.55,822161998.55,570429922.01,570429922.01
2,DETAIL,,债券利息支出,债券利息支出,元,59759138.61,59759138.61,70436432.92,70436432.92
4,DETAIL,保户投资款手续费及,佣金支出,佣金支出,元,10882026.2,10882026.2,302124.37,302124.37
5,DETAIL,保户投资款手续费及,持续奖金,持续奖金,元,13840838.69,13840838.69,7085144.73,7085144.73
7,DETAIL,未领取红利及给付利,息支出,息支出,元,20256384.02,20256384.02,26488198.27,26488198.27
8,DETAIL,未领取红利及给付利,租赁负债利息支出,租赁负债利息支出,元,5032780.83,5032780.83,3233860.83,3233860.83
9,DETAIL,未领取红利及给付利,摊回再保险合同收益,摊回再保险合同收益,元,-313665125.9,-313665125.9,-491308076.48,-491308076.48
10,DETAIL,未领取红利及给付利,其他,其他,元,82677.06,1537538.67,356353.13,15874750.05
11,TOTAL,未领取红利及给付利,合计,合计,元,618350718.06,619805579.67,187023959.78,202542356.7
12,DETAIL,未领取红利及给付利,利润总额,利润总额,元,-74657072.48,-59810369.86,327957072.49,345109096.12
14,DETAIL,按适用税率计算的所,得税费用,得税费用,元,-18664268.12,-14952592.47,81989268.13,86277274.04
15,DETAIL,按适用税率计算的所,无须纳税的收入,无须纳税的收入,元,-221343513.48,-221343513.47,-240746273.42,-240746273.42
16,DETAIL,按适用税率计算的所,不可抵扣的费用,不可抵扣的费用,元,2977955.1,2977955.1,14708693.98,14708693.98
19,DETAIL,产的可抵扣暂时性,差异和可抵扣亏损的影响,差异和可抵扣亏损的影响,元,125147273.25,121435597.59,2221228.78,2221228.78
23,DETAIL,扣暂时性差异和可,抵扣亏损的影响在当期确认的影响,抵扣亏损的影响在当期确认的影响,元,-23557467.79,-23557467.79,,
24,DETAIL,扣暂时性差异和可,所得税费用,所得税费用,元,-135440021.04,-135440021.04,-141827082.53,-137539076.62
