normalized_item,example_raw_item,canonical_item,category,mapping_status,mapping_note
保户投资款利息支出,保户投资款利息支出,,,UNMAPPED,
债券利息支出,债券利息支出,,,UNMAPPED,
佣金支出,佣金支出,,,UNMAPPED,
持续奖金,持续奖金,,,UNMAPPED,
息支出,息支出,,,UNMAPPED,
租赁负债利息支出,租赁负债利息支出,,,UNMAPPED,
摊回再保险合同收益,摊回再保险合同收益,,,UNMAPPED,
其他,其他,,,UNMAPPED,
合计,合计,,,UNMAPPED,
利润总额,利润总额,,,UNMAPPED,
得税费用,得税费用,,,UNMAPPED,
无须纳税的收入,无须纳税的收入,,,UNMAPPED,
不可抵扣的费用,不可抵扣的费用,,,UNMAPPED,
差异和可抵扣亏损的影响,差异和可抵扣亏损的影响,,,UNMAPPED,
抵扣亏损的影响在当期确认的影响,抵扣亏损的影响在当期确认的影响,,,UNMAPPED,
所得税费用,所得税费用,,,UNMAPPED,
