row_order,row_type,parent_section,raw_item,normalized_item,unit,2021,2022
1,DETAIL,,职工工资及福利费,职工工资及福利费,元,374851676.96,462796231.66
2,DETAIL,,使用权资产折旧费,使用权资产折旧费,元,45132630.19,67853129.62
3,DETAIL,,社会统筹保险费,社会统筹保险费,元,53309119.86,67330294.17
4,DETAIL,,电子设备运转费,电子设备运转费,元,49289686.31,41063741.08
5,DETAIL,,租赁费,租赁费,元,41728632.83,38577517.66
6,DETAIL,,保险保障基金(注),保险保障基金,元,28144747.02,32773167.19
7,DETAIL,,宣传费,宣传费,元,17889609.43,22288783.54
8,DETAIL,,营销培训费,营销培训费,元,16670148.39,20641852.75
9,DETAIL,,无形资产摊销,无形资产摊销,元,14609593.72,19575301.07
10,DETAIL,,业务招待费,业务招待费,元,11147563.4,13100801.7
11,DETAIL,,长期待摊费用摊销,长期待摊费用摊销,元,7898733.6,11758841.33
12,DETAIL,,固定资产折旧费,固定资产折旧费,元,9604231.0,11290659.29
13,DETAIL,,邮电费,邮电费,元,8131419.55,10104387.96
14,DETAIL,,公杂费,公杂费,元,4072876.71,4864077.44
15,DETAIL,,会议费,会议费,元,3641588.81,4535473.5
16,DETAIL,,咨询费,咨询费,元,5135930.02,3810258.07
17,DETAIL,,研究费用,研究费用,元,2204555.84,3542227.68
18,DETAIL,,差旅费,差旅费,元,5064163.8,3398704.75
19,DETAIL,,其他费用,其他费用,元,70740382.51,92539265.17
20,TOTAL,,合计,合计,元,769267289.95,931844715.63
22,DETAIL,"计算，金额为33,626,859.33元，本年抵扣的进项税为853,692.14元。",保户投资款利息支出,保户投资款利息支出,元,684164764.01,808582122.56
23,DETAIL,"计算，金额为33,626,859.33元，本年抵扣的进项税为853,692.14元。",债券利息支出,债券利息支出,元,50612853.18,55155845.13
24,DETAIL,"计算，金额为33,626,859.33元，本年抵扣的进项税为853,692.14元。",保户投资款手续费及佣金支出,保户投资款手续费及佣金支出,元,29414163.19,28295910.03
25,DETAIL,"计算，金额为33,626,859.33元，本年抵扣的进项税为853,692.14元。",持续奖金,持续奖金,元,24436054.05,26332767.19
26,DETAIL,"计算，金额为33,626,859.33元，本年抵扣的进项税为853,692.14元。",未领取红利及给付利息支出,未领取红利及给付利息支出,元,8505274.67,12749766.76
27,DETAIL,"计算，金额为33,626,859.33元，本年抵扣的进项税为853,692.14元。",租赁负债利息支出,租赁负债利息支出,元,4388059.16,6303423.92
28,DETAIL,"计算，金额为33,626,859.33元，本年抵扣的进项税为853,692.14元。",摊回再保险合同收益,摊回再保险合同收益,元,-53140373.07,-88864943.22
29,DETAIL,"计算，金额为33,626,859.33元，本年抵扣的进项税为853,692.14元。",其他,其他,元,71148.22,39941.53
30,TOTAL,"计算，金额为33,626,859.33元，本年抵扣的进项税为853,692.14元。",合计,合计,元,748451943.41,848594833.9
32,DETAIL,42.所得税费用,递延所得税费用,递延所得税费用,元,-73441059.0,77208121.83
34,DETAIL,本公司所得税费用与利润总额的关系如下,利润总额,利润总额,元,60901284.93,84978121.97
35,DETAIL,本公司所得税费用与利润总额的关系如下,按适用税率计算的所得税费用,按适用税率计算的所得税费用,元,15225321.23,21244530.49
36,DETAIL,本公司所得税费用与利润总额的关系如下,无须纳税的收入,无须纳税的收入,元,-103947299.61,-262620272.02
37,DETAIL,本公司所得税费用与利润总额的关系如下,不可抵扣的费用,不可抵扣的费用,元,2096073.98,3129484.07
39,DETAIL,未确认递延所得税资产的可抵扣暂时,性差异和可抵扣亏损的影响,性差异和可抵扣亏损的影响,元,83872684.29,313609347.49
41,DETAIL,以前期间未确认递延所得税资产的可,抵扣暂时性差异和可抵扣亏损的影响在当期的转回,抵扣暂时性差异和可抵扣亏损的影响在当期的转回,元,-70687838.89,
42,DETAIL,以前期间未确认递延所得税资产的可,其他,其他,元,,1845031.8
43,DETAIL,以前期间未确认递延所得税资产的可,所得税费用,所得税费用,元,-73441059.0,77208121.83
