row_order,row_type,parent_section,raw_item,normalized_item,unit,2021,2022
1,DETAIL,,职工工资及福利费,职工工资及福利费,元,374851676.96,462796231.66
2,DETAIL,,使用权资产折旧费,使用权资产折旧费,元,45132630.19,67853129.62
3,DETAIL,,社会统筹保险费,社会统筹保险费,元,53309119.86,67330294.17
4,DETAIL,,电子设备运转费,电子设备运转费,元,49289686.31,41063741.08
5,DETAIL,,租赁费,租赁费,元,41728632.83,38577517.66
6,DETAIL,,保险保障基金(注),保险保障基金,元,28144747.02,32773167.19
7,DETAIL,,宣传费,宣传费,元,17889609.43,22288783.54
8,DETAIL,,营销培训费,营销培训费,元,16670148.39,20641852.75
9,DETAIL,,无形资产摊销,无形资产摊销,元,14609593.72,19575301.07
10,DETAIL,,业务招待费,业务招待费,元,11147563.4,13100801.7
11,DETAIL,,长期待摊费用摊销,长期待摊费用摊销,元,7898733.6,11758841.33
12,DETAIL,,固定资产折旧费,固定资产折旧费,元,9604231.0,11290659.29
13,DETAIL,,邮电费,邮电费,元,8131419.55,10104387.96
14,DETAIL,,公杂费,公杂费,元,4072876.71,4864077.44
15,DETAIL,,会议费,会议费,元,3641588.81,4535473.5
16,DETAIL,,咨询费,咨询费,元,5135930.02,3810258.07
17,DETAIL,,研究费用,研究费用,元,2204555.84,3542227.68
18,DETAIL,,差旅费,差旅费,元,5064163.8,3398704.75
19,DETAIL,,其他费用,其他费用,元,70740382.51,92539265.17
20,TOTAL,,合计,合计,元,769267289.95,931844715.63
