row_order,row_type,parent_section,raw_item,normalized_item,unit,2022 本公司,2023 本集团
1,DETAIL,,职工工资及福利费,职工工资及福利费,元,421679613.34,419512944.32
2,DETAIL,,保险保障基金(注),保险保障基金,元,32773167.19,82717386.01
3,DETAIL,,社会统筹保险费,社会统筹保险费,元,67330294.17,73994768.46
4,DETAIL,,使用权资产折旧费,使用权资产折旧费,元,67853129.62,64532850.43
5,DETAIL,,专业外包服务费,专业外包服务费,元,41116618.32,38173944.02
6,DETAIL,,电子设备运转费,电子设备运转费,元,41063741.08,34906757.34
7,DETAIL,,营销培训费,营销培训费,元,20641852.75,34710649.94
8,DETAIL,,租赁费,租赁费,元,38577517.66,34335921.9
9,DETAIL,,无形资产摊销,无形资产摊销,元,19575301.07,26016594.7
10,DETAIL,,宣传费,宣传费,元,22288783.54,24592403.77
11,DETAIL,,长期待摊费用摊销,长期待摊费用摊销,元,11758841.33,15117997.14
12,DETAIL,,固定资产折旧费,固定资产折旧费,元,11290659.29,14858412.44
13,DETAIL,,业务招待费,业务招待费,元,13100801.7,12891076.05
14,DETAIL,,邮电费,邮电费,元,10104387.96,11239583.9
15,DETAIL,,研究费用,研究费用,元,3542227.68,10417714.24
16,DETAIL,,差旅费,差旅费,元,3398704.75,9205112.12
17,DETAIL,,会议费,会议费,元,4535473.5,5964049.45
18,DETAIL,,公杂费,公杂费,元,4864077.44,4306634.16
19,DETAIL,,咨询费,咨询费,元,3810258.07,3504346.81
20,DETAIL,,其他费用,其他费用,元,92539265.17,91716513.07
21,TOTAL,,合计,合计,元,931844715.63,1012715660.27
27,DETAIL,40.其他业务成本,"保户投资款利息支出822,161,998.55","保户投资款利息支出822,161,998.55",元,808582122.56,822161998.55
28,DETAIL,40.其他业务成本,"债券利息支出59,759,138.61","债券利息支出59,759,138.61",元,55155845.13,59759138.61
30,DETAIL,保户投资款手续费及佣,"金支出10,882,026.20","金支出10,882,026.20",元,28295910.03,10882026.2
31,DETAIL,保户投资款手续费及佣,"持续奖金13,840,838.69","持续奖金13,840,838.69",元,26332767.19,13840838.69
33,DETAIL,未领取红利及给付利息,"支出20,256,384.02","支出20,256,384.02",元,12749766.76,20256384.02
34,DETAIL,未领取红利及给付利息,"租赁负债利息支出5,032,780.83","租赁负债利息支出5,032,780.83",元,6303423.92,5032780.83
35,DETAIL,未领取红利及给付利息,"摊回再保险合同收益(313,665,125.90)","摊回再保险合同收益(313,665,125.90)",元,-88864943.22,-313665125.9
36,DETAIL,未领取红利及给付利息,"其他1,537,538.67","其他1,537,538.67",元,39941.53,82677.06
37,DETAIL,未领取红利及给付利息,"合计619,805,579.67","合计619,805,579.67",元,848594833.9,618350718.06
39,DETAIL,41.所得税费用,递延所得税费用,递延所得税费用,元,77208121.83,-135440021.04
41,DETAIL,本公司所得税费用与利润总额的关系如下,利润总额,利润总额,元,84978121.97,
42,DETAIL,本公司所得税费用与利润总额的关系如下,按适用税率计算的所得税费用,按适用税率计算的所得税费用,元,21244530.49,
43,DETAIL,本公司所得税费用与利润总额的关系如下,无须纳税的收入,无须纳税的收入,元,-262620272.02,
44,DETAIL,本公司所得税费用与利润总额的关系如下,不可抵扣的费用,不可抵扣的费用,元,3129484.07,
46,DETAIL,未确认递延所得税资产的可抵扣暂时性差,异和可抵扣亏损的影响,异和可抵扣亏损的影响,元,313609347.49,
49,DETAIL,以前期间未确认递延所得税资产的可抵扣,其他,其他,元,-1845031.8,
50,DETAIL,以前期间未确认递延所得税资产的可抵扣,所得税费用,所得税费用,元,77208121.83,
