row_order,row_type,parent_section,raw_item,normalized_item,unit,2022 本公司,2023 本集团
1,DETAIL,,职工工资及福利费,职工工资及福利费,元,421679613.34,419512944.32
2,DETAIL,,保险保障基金(注),保险保障基金,元,32773167.19,82717386.01
3,DETAIL,,社会统筹保险费,社会统筹保险费,元,67330294.17,73994768.46
4,DETAIL,,使用权资产折旧费,使用权资产折旧费,元,67853129.62,64532850.43
5,DETAIL,,专业外包服务费,专业外包服务费,元,41116618.32,38173944.02
6,DETAIL,,电子设备运转费,电子设备运转费,元,41063741.08,34906757.34
7,DETAIL,,营销培训费,营销培训费,元,20641852.75,34710649.94
8,DETAIL,,租赁费,租赁费,元,38577517.66,34335921.9
9,DETAIL,,无形资产摊销,无形资产摊销,元,19575301.07,26016594.7
10,DETAIL,,宣传费,宣传费,元,22288783.54,24592403.77
11,DETAIL,,长期待摊费用摊销,长期待摊费用摊销,元,11758841.33,15117997.14
12,DETAIL,,固定资产折旧费,固定资产折旧费,元,11290659.29,14858412.44
13,DETAIL,,业务招待费,业务招待费,元,13100801.7,12891076.05
14,DETAIL,,邮电费,邮电费,元,10104387.96,11239583.9
15,DETAIL,,研究费用,研究费用,元,3542227.68,10417714.24
16,DETAIL,,差旅费,差旅费,元,3398704.75,9205112.12
17,DETAIL,,会议费,会议费,元,4535473.5,5964049.45
18,DETAIL,,公杂费,公杂费,元,4864077.44,4306634.16
19,DETAIL,,咨询费,咨询费,元,3810258.07,3504346.81
20,DETAIL,,其他费用,其他费用,元,92539265.17,91716513.07
21,TOTAL,,合计,合计,元,931844715.63,1012715660.27
