row_order,row_type,parent_section,raw_item,normalized_item,unit,2023 本集团,2024 本集团
1,DETAIL,,职工工资及福利费,职工工资及福利费,元,419512944.32,436431450.93
2,DETAIL,,保险保障基金(注),保险保障基金,元,82717386.01,92425918.33
3,DETAIL,,社会统筹保险费,社会统筹保险费,元,73994768.46,78392576.95
4,DETAIL,,营销培训费,营销培训费,元,34710649.94,78331657.09
5,DETAIL,,宣传费,宣传费,元,24592403.77,61250365.68
6,DETAIL,,使用权资产折旧费,使用权资产折旧费,元,64532850.43,58405985.4
7,DETAIL,,租赁费,租赁费,元,34335921.9,34719568.93
8,DETAIL,,电子设备运转费,电子设备运转费,元,34906757.34,31117265.47
9,DETAIL,,研究费用,研究费用,元,10417714.24,29046956.67
10,DETAIL,,无形资产摊销,无形资产摊销,元,26016594.7,26587466.27
11,DETAIL,,业务招待费,业务招待费,元,12891076.05,16554321.39
12,DETAIL,,固定资产折旧费,固定资产折旧费,元,14858412.44,16001821.05
13,DETAIL,,专业外包服务费,专业外包服务费,元,38173944.02,14102256.18
14,DETAIL,,差旅费,差旅费,元,9205112.12,13083127.89
15,DETAIL,,长期待摊费用摊销,长期待摊费用摊销,元,15117997.14,12290583.05
16,DETAIL,,邮电费,邮电费,元,11239583.9,12270314.61
17,DETAIL,,会议费,会议费,元,5964049.45,10972890.68
18,DETAIL,,咨询费,咨询费,元,3504346.81,6139190.97
19,DETAIL,,公杂费,公杂费,元,4306634.16,2729721.46
20,DETAIL,,其他费用,其他费用,元,91716513.07,98354123.13
21,TOTAL,,合计,合计,元,1012715660.27,1129207562.13
