pdf_name,table_query,note_number,located_title,row_order,row_type,row_level,parent_section,raw_item,normalized_item,canonical_item,mapping_status,column_ordinal,source_column_index,column_dimension_key,year,scope,restated,header_raw,value_raw,value,value_yuan,unit,page,header_source_page,source_method,original_unit
e115146901c4_中银三星2025年报.pdf,业务及管理费,,六、 财务报表附注（续）34. 业务及管理费和其他业务成本,1,SECTION_HEADER,0,,按费用项目：,按费用项目,,UNMAPPED,,,,,,,,,,,,133,,spatial_roi,
e115146901c4_中银三星2025年报.pdf,业务及管理费,,六、 财务报表附注（续）34. 业务及管理费和其他业务成本,2,DETAIL,1,按费用项目,手续费及佣金支出,手续费及佣金支出,,UNMAPPED,0.0,1.0,2025|本集团|ORIGINAL,2025,本集团,False,本集团 | 2025,"1,052,437,858.39",1052437858.39,1052437858.39,元,133,,spatial_roi+column_anchors,元
e115146901c4_中银三星2025年报.pdf,业务及管理费,,六、 财务报表附注（续）34. 业务及管理费和其他业务成本,2,DETAIL,1,按费用项目,手续费及佣金支出,手续费及佣金支出,,UNMAPPED,1.0,2.0,2025|本公司|ORIGINAL,2025,本公司,False,本公司 | 2025,"1,052,437,858.39",1052437858.39,1052437858.39,元,133,,spatial_roi+column_anchors,元
e115146901c4_中银三星2025年报.pdf,业务及管理费,,六、 财务报表附注（续）34. 业务及管理费和其他业务成本,2,DETAIL,1,按费用项目,手续费及佣金支出,手续费及佣金支出,,UNMAPPED,2.0,3.0,2024|本集团|RESTATED,2024,本集团,True,本集团 | 2024 | （已重述）,"1,050,107,575.54",1050107575.54,1050107575.54,元,133,,spatial_roi+column_anchors,元
e115146901c4_中银三星2025年报.pdf,业务及管理费,,六、 财务报表附注（续）34. 业务及管理费和其他业务成本,2,DETAIL,1,按费用项目,手续费及佣金支出,手续费及佣金支出,,UNMAPPED,3.0,4.0,2024|本公司|RESTATED,2024,本公司,True,本公司 | 2024 | （已重述）,"1,050,107,575.54",1050107575.54,1050107575.54,元,133,,spatial_roi+column_anchors,元
e115146901c4_中银三星2025年报.pdf,业务及管理费,,六、 财务报表附注（续）34. 业务及管理费和其他业务成本,3,DETAIL,1,按费用项目,职工工资及福利费,职工工资及福利费,,UNMAPPED,0.0,1.0,2025|本集团|ORIGINAL,2025,本集团,False,本集团 | 2025,"453,061,173.13",453061173.13,453061173.13,元,133,,spatial_roi+column_anchors,元
e115146901c4_中银三星2025年报.pdf,业务及管理费,,六、 财务报表附注（续）34. 业务及管理费和其他业务成本,3,DETAIL,1,按费用项目,职工工资及福利费,职工工资及福利费,,UNMAPPED,1.0,2.0,2025|本公司|ORIGINAL,2025,本公司,False,本公司 | 2025,"453,061,173.13",453061173.13,453061173.13,元,133,,spatial_roi+column_anchors,元
e115146901c4_中银三星2025年报.pdf,业务及管理费,,六、 财务报表附注（续）34. 业务及管理费和其他业务成本,3,DETAIL,1,按费用项目,职工工资及福利费,职工工资及福利费,,UNMAPPED,2.0,3.0,2024|本集团|RESTATED,2024,本集团,True,本集团 | 2024 | （已重述）,"436,431,450.93",436431450.93,436431450.93,元,133,,spatial_roi+column_anchors,元
e115146901c4_中银三星2025年报.pdf,业务及管理费,,六、 财务报表附注（续）34. 业务及管理费和其他业务成本,3,DETAIL,1,按费用项目,职工工资及福利费,职工工资及福利费,,UNMAPPED,3.0,4.0,2024|本公司|RESTATED,2024,本公司,True,本公司 | 2024 | （已重述）,"436,431,450.93",436431450.93,436431450.93,元,133,,spatial_roi+column_anchors,元
e115146901c4_中银三星2025年报.pdf,业务及管理费,,六、 财务报表附注（续）34. 业务及管理费和其他业务成本,4,DETAIL,1,按费用项目,保险保障基金(注),保险保障基金,,UNMAPPED,0.0,1.0,2025|本集团|ORIGINAL,2025,本集团,False,本集团 | 2025,"90,167,189.61",90167189.61,90167189.61,元,133,,spatial_roi+column_anchors,元
