row_order,row_type,parent_section,raw_item,normalized_item,unit,2024 本公司 已重述,2024 本集团 已重述,2025 本公司,2025 本集团
2,DETAIL,按费用项目,手续费及佣金支出,手续费及佣金支出,元,1050107575.54,1050107575.54,1052437858.39,1052437858.39
3,DETAIL,按费用项目,职工工资及福利费,职工工资及福利费,元,436431450.93,436431450.93,453061173.13,453061173.13
4,DETAIL,按费用项目,保险保障基金(注),保险保障基金,元,92425918.33,92425918.33,90167189.61,90167189.61
5,DETAIL,按费用项目,社会统筹保险费,社会统筹保险费,元,78392576.95,78392576.95,79538043.85,79538043.85
6,DETAIL,按费用项目,使用权资产折旧费,使用权资产折旧费,元,58405985.4,58405985.4,59630432.44,59630432.44
7,DETAIL,按费用项目,营销培训费,营销培训费,元,78331657.09,78331657.09,52565868.17,52565868.17
8,DETAIL,按费用项目,研究费用,研究费用,元,29046956.67,29046956.67,48843215.61,48843215.61
9,DETAIL,按费用项目,宣传费,宣传费,元,61250365.68,61250365.68,42820314.87,42820314.87
10,DETAIL,按费用项目,无形资产摊销,无形资产摊销,元,26587466.27,26587466.27,24188335.57,24188335.57
11,DETAIL,按费用项目,租赁费,租赁费,元,34719568.93,34719568.93,21641139.06,21641139.06
12,DETAIL,按费用项目,电子设备运转费,电子设备运转费,元,31117265.47,31117265.47,20068017.92,20068017.92
13,DETAIL,按费用项目,长期待摊费用摊销,长期待摊费用摊销,元,12290583.05,12290583.05,16274733.23,16274733.23
14,DETAIL,按费用项目,固定资产折旧费,固定资产折旧费,元,16001821.05,16001821.05,16230582.03,16230582.03
15,DETAIL,按费用项目,监管费,监管费,元,13569909.12,13569909.12,14944651.36,14944651.36
16,DETAIL,按费用项目,专业外包服务费,专业外包服务费,元,14102256.18,14102256.18,14628427.91,14628427.91
17,DETAIL,按费用项目,邮电费,邮电费,元,12270314.61,12270314.61,11376178.19,11376178.19
18,DETAIL,按费用项目,差旅费,差旅费,元,13083127.89,13083127.89,11173754.36,11173754.36
19,DETAIL,按费用项目,会议费,会议费,元,10972890.68,10972890.68,10706832.19,10706832.19
20,DETAIL,按费用项目,业务招待费,业务招待费,元,16554321.39,16554321.39,8326374.01,8326374.01
21,DETAIL,按费用项目,税金及附加,税金及附加,元,12256458.61,12256458.61,7909097.66,7940695.6
22,DETAIL,按费用项目,咨询费,咨询费,元,6139190.97,6139190.97,2832066.51,2832066.51
23,DETAIL,按费用项目,公杂费,公杂费,元,2729721.46,2729721.46,2557968.65,2557968.65
24,DETAIL,按费用项目,其他业务成本,其他业务成本,元,-490993786.8,-473196701.67,-353940694.43,-327784696.41
25,DETAIL,按费用项目,其他费用,其他费用,元,86589156.12,86589156.12,116006408.46,116207408.46
26,TOTAL,按费用项目,合计,合计,元,1702382751.59,1720179836.72,1823987968.75,1850376564.71
27,CLASSIFICATION_TOTAL,按费用项目,可归属于保险合同组合的费用,可归属于保险合同组合的费用,元,2001866793.3,2001866734.36,1976619664.19,1976619664.19
29,DETAIL,计入未到期责任负债的保险,获取现金流量,获取现金流量,元,1697906210.24,1697906210.24,1668932503.76,1668932503.76
30,DETAIL,计入未到期责任负债的保险,计入保险服务费用的金额,计入保险服务费用的金额,元,303960583.06,303960524.12,307687160.43,307687160.43
31,CLASSIFICATION_TOTAL,计入未到期责任负债的保险,不可归属于保险合同组合的费用,不可归属于保险合同组合的费用,元,-299484041.71,-281686897.64,-152631695.44,-126243099.48
32,DETAIL,计入未到期责任负债的保险,债权投资,债权投资,元,222569.25,13471.01,406238120.86,405648424.08
33,DETAIL,计入未到期责任负债的保险,其他债权投资,其他债权投资,元,2154574.44,1866364.07,29760223.36,28190161.87
34,DETAIL,计入未到期责任负债的保险,其他应收款,其他应收款,元,100813.26,100813.26,2223853.64,2223853.64
35,DETAIL,计入未到期责任负债的保险,存出资本保证金,存出资本保证金,元,0.01,0.01,253381.59,253381.59
36,DETAIL,计入未到期责任负债的保险,定期存款,定期存款,元,79768.39,79768.39,-98569.0,-98569.0
37,TOTAL,计入未到期责任负债的保险,合计,合计,元,2557725.35,2060416.74,438377010.45,436217252.18
39,DETAIL,计入未到期责任负债的保险,递延所得税费用,递延所得税费用,元,814339442.86,814339442.86,423407134.66,423038760.36
41,DETAIL,本集团所得税费用与利润总额的关系如下,利润总额,利润总额,元,2500671176.4,2500671176.4,1127398278.6,1128588948.51
43,DETAIL,按适用税率计算的所得税,费用,费用,元,625167794.1,625167794.1,281849569.65,282147237.13
44,DETAIL,按适用税率计算的所得税,无须纳税的收入,无须纳税的收入,元,-240746273.42,-240746273.42,-390256038.81,-390256038.81
45,DETAIL,按适用税率计算的所得税,不可抵扣的费用,不可抵扣的费用,元,14708693.98,14708693.98,17562767.79,17562767.79
47,DETAIL,未确认递延所得税资产的,可抵扣暂时性差异和可抵扣亏损的影响,可抵扣暂时性差异和可抵扣亏损的影响,元,415209228.2,415209228.2,747642786.04,746976744.26
48,DETAIL,未确认递延所得税资产的,利用以前年度可抵扣亏损,利用以前年度可抵扣亏损,元,,,-233391950.01,-233391950.01
49,DETAIL,未确认递延所得税资产的,所得税费用,所得税费用,元,814339442.86,814339442.86,423407134.66,423038760.36
