row_order,row_type,parent_section,raw_item,normalized_item,unit,2022 本公司,2022 本集团,2023 本公司,2023 本集团
1,DETAIL,,工资及福利费,工资及福利费,,321213616.0,366354777.0,364635392.0,400219248.0
2,DETAIL,,服务费,服务费,,91691719.0,100887523.0,84247166.0,93215390.0
3,DETAIL,,社会统筹保险费,社会统筹保险费,,74919141.0,80307620.0,80909946.0,86485664.0
4,DETAIL,,使用权资产折旧,使用权资产折旧,,76246198.0,84362233.0,74913512.0,83525836.0
5,DETAIL,,保险保障基金,保险保障基金,,29282896.0,29282896.0,69255914.0,69255914.0
6,DETAIL,,住房公积金,住房公积金,,36352290.0,38748267.0,39291870.0,41809403.0
7,DETAIL,,物业及公杂费,物业及公杂费,,25463367.0,27270111.0,21962214.0,23826140.0
8,DETAIL,,委托投资管理费,委托投资管理费,,114456877.0,19733902.0,101103832.0,22752804.0
9,DETAIL,,会议费,会议费,,9859761.0,10339761.0,22004904.0,22484904.0
10,DETAIL,,无形资产摊销,无形资产摊销,,14803172.0,16677074.0,18374671.0,20520814.0
11,DETAIL,,培训费,培训费,,15238883.0,15238883.0,19207847.0,19207847.0
12,DETAIL,,业务宣传费,业务宣传费,,16868537.0,16874749.0,15886589.0,15961738.0
13,DETAIL,,差旅费,差旅费,,5716214.0,5994930.0,12982002.0,13665317.0
14,DETAIL,,业务招待费,业务招待费,,15720140.0,15801956.0,11877032.0,11882469.0
15,DETAIL,,邮电费,邮电费,,8559527.0,8559527.0,9911239.0,10130550.0
16,DETAIL,,软件维护修理费,软件维护修理费,,8938145.0,9508847.0,7558202.0,9690385.0
17,DETAIL,,长期摊销费用,长期摊销费用,,7905396.0,7905396.0,8473458.0,8473458.0
18,DETAIL,,工会经费和职工教育经费,工会经费和职工教育经费,,7227635.0,8139837.0,7550795.0,8315811.0
19,DETAIL,,固定资产折旧,固定资产折旧,,6585788.0,7096977.0,6082436.0,6502953.0
20,DETAIL,,租赁费,租赁费,,1056327.0,2200322.0,361454.0,1065081.0
21,DETAIL,,其他,其他,,34721253.0,37755495.0,28242193.0,29810673.0
22,TOTAL,,总计,总计,,922826882.0,909041083.0,1004832668.0,998802399.0
24,DETAIL,49其他业务成本,非保险合同利息支出,非保险合同利息支出,,645346399.0,645346399.0,564133527.0,564133527.0
25,DETAIL,49其他业务成本,债券利息支出,债券利息支出,,199740000.0,199740000.0,199740000.0,199740000.0
26,DETAIL,49其他业务成本,非保险合同业务支出,非保险合同业务支出,,,,28866891.0,28866891.0
27,DETAIL,49其他业务成本,租赁负债利息支出,租赁负债利息支出,,3035964.0,3335195.0,2054397.0,2253253.0
28,DETAIL,49其他业务成本,非保险合同手续费及佣金支出,非保险合同手续费及佣金支出,,351804.0,351804.0,199150.0,199150.0
29,DETAIL,49其他业务成本,其他,其他,,12709.0,1270339.0,9655.0,1721593.0
30,TOTAL,49其他业务成本,总计,总计,,848486876.0,850043737.0,795003620.0,796914414.0
31,DETAIL,49其他业务成本,当期所得税,当期所得税,,,10055483.0,,6309719.0
32,DETAIL,49其他业务成本,递延所得税,递延所得税,,-142578164.0,-145436807.0,-90730976.0,-90948831.0
33,DETAIL,49其他业务成本,以前年度汇算清缴差异,以前年度汇算清缴差异,,-66884013.0,-66889596.0,17137200.0,17239259.0
34,TOTAL,49其他业务成本,总计,总计,,-209462177.0,-202270920.0,-73593776.0,-67399853.0
36,DETAIL,所得税不利润/(亏损),利润/(亏损)总额,利润/(亏损)总额,,-577218853.0,-549924073.0,-14120609.0,8042246.0
37,DETAIL,所得税不利润/(亏损),挄适用税率计算的所得税,挄适用税率计算的所得税,,-144304713.0,-137481018.0,-3530152.0,2010562.0
38,DETAIL,所得税不利润/(亏损),丌可扣除的费用,丌可扣除的费用,,4941049.0,5314194.0,6054923.0,6606073.0
39,DETAIL,所得税不利润/(亏损),非应纳税收入,非应纳税收入,,-458873509.0,-458873509.0,-487539936.0,-487539936.0
41,DETAIL,当期未确讣递延所得税资产的,可抵扣亏损,可抵扣亏损,,458873509.0,458873509.0,394284189.0,394284189.0
43,DETAIL,使用前期未确讣递延所得税资产的,可抵扣暂时性差异,可抵扣暂时性差异,,-3214500.0,-3214500.0,,
44,DETAIL,使用前期未确讣递延所得税资产的,汇算清缴差异,汇算清缴差异,,-66884013.0,-66889596.0,17137200.0,17239259.0
45,TOTAL,使用前期未确讣递延所得税资产的,总计,总计,,-209462177.0,-202270920.0,-73593776.0,-67399853.0
