normalized_item,example_raw_item,canonical_item,category,mapping_status,mapping_note
工资及福利费,工资及福利费,,,UNMAPPED,
服务费,服务费,,,UNMAPPED,
社会统筹保险费,社会统筹保险费,,,UNMAPPED,
使用权资产折旧,使用权资产折旧,,,UNMAPPED,
保险保障基金,保险保障基金,,,UNMAPPED,
住房公积金,住房公积金,,,UNMAPPED,
会议费,会议费,,,UNMAPPED,
物业及公杂费,物业及公杂费,,,UNMAPPED,
无形资产摊销,无形资产摊销,,,UNMAPPED,
业务宣传费,业务宣传费,,,UNMAPPED,
委托投资管理费,委托投资管理费,,,UNMAPPED,
培训费,培训费,,,UNMAPPED,
差旅费,差旅费,,,UNMAPPED,
软件维护修理费,软件维护修理费,,,UNMAPPED,
业务招待费,业务招待费,,,UNMAPPED,
工会经费和职工教育经费育经费,工会经费和职工教育经费育经费,,,UNMAPPED,
邮电费,邮电费,,,UNMAPPED,
长期摊销费用,长期摊销费用,,,UNMAPPED,
固定资产折旧,固定资产折旧,,,UNMAPPED,
租赁费,租赁费,,,UNMAPPED,
其他,其他,,,UNMAPPED,
减：当期发生的保险获取现金流量,减：当期发生的保险获取现金流量,,,UNMAPPED,
当期发生的其他保险履约现金流,当期发生的其他保险履约现金流,,,UNMAPPED,
合计,合计,,,UNMAPPED,
