canonical_order,row_type,row_level,parent_section,canonical_section,canonical_item,unit,canonical_key,order_source,交银人寿 | 2022 | 2021 | 本公司,交银人寿 | 2022 | 2021 | 本集团,交银人寿 | 2022 | 2022 | 本公司,交银人寿 | 2022 | 2022 | 本集团,交银人寿 | 2023 | 2022 | 本公司,交银人寿 | 2023 | 2022 | 本集团,交银人寿 | 2023 | 2023 | 本公司,交银人寿 | 2023 | 2023 | 本集团,交银人寿 | 2024 | 2023 | 本公司 | 已重述,交银人寿 | 2024 | 2023 | 本集团 | 已重述,交银人寿 | 2024 | 2024 | 本公司,交银人寿 | 2024 | 2024 | 本集团,交银人寿 | 2025 | 2024 | 本公司,交银人寿 | 2025 | 2024 | 本集团,交银人寿 | 2025 | 2025 | 本公司,交银人寿 | 2025 | 2025 | 本集团
1,DETAIL,0,nan,,工资及福利费,,CANON::业务及管理费::::工资及福利费,REFERENCE:交银人寿2022年报__业务及管理费__20260721T173423,349232729.0,405251811.0,321213616.0,366354777.0,321213616.0,366354777.0,364635392.0,400219248.0,364635392.0,400219248.0,405062799.0,450070257.0,405062799.0,450070257.0,453567201.0,494040164.0
2,DETAIL,0,nan,,服务费,,CANON::业务及管理费::::服务费,REFERENCE:交银人寿2022年报__业务及管理费__20260721T173423,121917508.0,128187335.0,90997150.0,100192954.0,91691719.0,100887523.0,84247166.0,93215390.0,84247166.0,93215390.0,91631416.0,105996040.0,91631416.0,105996040.0,84753451.0,101286372.0
3,DETAIL,0,nan,,使用权资产折旧,,CANON::业务及管理费::::使用权资产折旧,REFERENCE:交银人寿2022年报__业务及管理费__20260721T173423,77303434.0,85419469.0,76246198.0,84362233.0,76246198.0,84362233.0,74913512.0,83525836.0,74913512.0,83525836.0,75567098.0,82793640.0,75567098.0,82793640.0,71284052.0,78393646.0
4,DETAIL,0,nan,,社会统筹保险费,,CANON::业务及管理费::::社会统筹保险费,REFERENCE:交银人寿2022年报__业务及管理费__20260721T173423,69826086.0,74744501.0,74919141.0,80307620.0,74919141.0,80307620.0,80909946.0,86485664.0,80909946.0,86485664.0,81944368.0,87610784.0,81944368.0,87610784.0,77625642.0,83329553.0
5,DETAIL,0,nan,,住房公积金,,CANON::业务及管理费::::住房公积金,REFERENCE:交银人寿2022年报__业务及管理费__20260721T173423,33299119.0,35451755.0,36352290.0,38748267.0,36352290.0,38748267.0,39291870.0,41809403.0,39291870.0,41809403.0,40766927.0,43403173.0,40766927.0,43403173.0,39016663.0,41679743.0
6,DETAIL,0,nan,,保险保障基金,,CANON::业务及管理费::::保险保障基金,REFERENCE:交银人寿2022年报__业务及管理费__20260721T173423,26335143.0,26335143.0,29282896.0,29282896.0,29282896.0,29282896.0,69255914.0,69255914.0,69255914.0,69255914.0,58239088.0,58239088.0,58239088.0,58239088.0,60178186.0,60178186.0
7,DETAIL,0,nan,,物业及公杂费,,CANON::业务及管理费::::物业及公杂费,REFERENCE:交银人寿2022年报__业务及管理费__20260721T173423,25468489.0,27326532.0,25463367.0,27270111.0,25463367.0,27270111.0,21962214.0,23826140.0,21962214.0,23826140.0,24180062.0,25639882.0,24180062.0,25639882.0,19506094.0,21070225.0
8,DETAIL,0,nan,,委托投资管理费,,CANON::业务及管理费::::委托投资管理费,REFERENCE:交银人寿2022年报__业务及管理费__20260721T173423,121681028.0,28164036.0,114456877.0,19733902.0,114456877.0,19733902.0,101103832.0,22752804.0,101103832.0,22752804.0,111270206.0,21098576.0,111270206.0,21098576.0,131714353.0,27039910.0
9,DETAIL,0,nan,,业务宣传费,,CANON::业务及管理费::::业务宣传费,REFERENCE:交银人寿2022年报__业务及管理费__20260721T173423,28298546.0,28298546.0,16868537.0,16874749.0,16868537.0,16874749.0,15886589.0,15961738.0,15886589.0,15961738.0,23775248.0,23775248.0,23775248.0,23775248.0,15985558.0,16000653.0
10,DETAIL,0,nan,,无形资产摊销,,CANON::业务及管理费::::无形资产摊销,REFERENCE:交银人寿2022年报__业务及管理费__20260721T173423,12743792.0,14015707.0,14803172.0,16677074.0,14803172.0,16677074.0,18374671.0,20520814.0,18374671.0,20520814.0,22638828.0,25027417.0,22638828.0,25027417.0,27559168.0,30115595.0
11,DETAIL,0,nan,,业务招待费,,CANON::业务及管理费::::业务招待费,REFERENCE:交银人寿2022年报__业务及管理费__20260721T173423,25236194.0,25419815.0,15720140.0,15801956.0,15720140.0,15801956.0,11877032.0,11882469.0,892719811877032.0,892743811882469.0,,,8927198.0,8927438.0,3725574.0,3725574.0
12,DETAIL,0,nan,,培训费,,CANON::业务及管理费::::培训费,REFERENCE:交银人寿2022年报__业务及管理费__20260721T173423,16509113.0,16509113.0,15238883.0,15238883.0,15238883.0,15238883.0,19207847.0,19207847.0,19207847.0,19207847.0,16806153.0,16806153.0,16806153.0,16806153.0,10216592.0,10216592.0
13,DETAIL,0,nan,,会议费,,CANON::业务及管理费::::会议费,REFERENCE:交银人寿2022年报__业务及管理费__20260721T173423,11881681.0,12373546.0,9859761.0,10339761.0,9859761.0,10339761.0,22004904.0,22484904.0,22004904.0,22484904.0,26196352.0,26676352.0,26196352.0,26676352.0,20539707.0,20539971.0
14,DETAIL,0,nan,,软件维护修理费,,CANON::业务及管理费::::软件维护修理费,REFERENCE:交银人寿2022年报__业务及管理费__20260721T173423,7720870.0,8019790.0,8938145.0,9508847.0,8938145.0,9508847.0,7558202.0,9690385.0,76475547558202.0,,9690385.0,10086101.0,,,,
15,DETAIL,0,nan,,工会经费和职工教育经费育经费,,RAW::业务及管理费::::工会经费和职工教育经费育经费,INSERTED_FROM:交银人寿2024年报__业务及管理费__20260721T173418,,,,,,,,,77690557550795.0,8511823.0,8315811.0,,,,,
16,DETAIL,0,nan,,邮电费,,CANON::业务及管理费::::邮电费,REFERENCE:交银人寿2022年报__业务及管理费__20260721T173423,8898089.0,8898089.0,8559527.0,8559527.0,8559527.0,8559527.0,9911239.0,10130550.0,76219249911239.0,786848310130550.0,,,7621924.0,7868483.0,9128007.0,9513452.0
17,DETAIL,0,nan,,工会经费和职工教育经费,,CANON::业务及管理费::::工会经费和职工教育经费,REFERENCE:交银人寿2022年报__业务及管理费__20260721T173423,6442205.0,7453815.0,7227635.0,8139837.0,7227635.0,8139837.0,7550795.0,8315811.0,,,,,7769055.0,8511823.0,6893727.0,7607566.0
18,DETAIL,0,nan,,长期摊销费用,,CANON::业务及管理费::::长期摊销费用,REFERENCE:交银人寿2022年报__业务及管理费__20260721T173423,6602067.0,7201878.0,7905396.0,7905396.0,7905396.0,7905396.0,8473458.0,8473458.0,68672568473458.0,6867256.0,8473458.0,,6867256.0,6867256.0,4899343.0,4943763.0
19,DETAIL,0,nan,,固定资产折旧,,CANON::业务及管理费::::固定资产折旧,REFERENCE:交银人寿2022年报__业务及管理费__20260721T173423,6895387.0,7501736.0,6585788.0,7096977.0,6585788.0,7096977.0,6082436.0,6502953.0,59961476082436.0,6382703.0,6502953.0,,5996147.0,6382703.0,7383834.0,8016583.0
20,DETAIL,0,nan,,差旅费,,CANON::业务及管理费::::差旅费,REFERENCE:交银人寿2022年报__业务及管理费__20260721T173423,9674125.0,10403769.0,5716214.0,5994930.0,5716214.0,5994930.0,12982002.0,13665317.0,12982002.0,13665317.0,12780518.0,13437180.0,12780518.0,13437180.0,10741171.0,11263223.0
21,DETAIL,0,nan,,租赁费,,CANON::业务及管理费::::租赁费,REFERENCE:交银人寿2022年报__业务及管理费__20260721T173423,4773837.0,6422408.0,1056327.0,2200322.0,1056327.0,2200322.0,361454.0,1065081.0,84762361454.0,626391.0,1065081.0,,84762.0,626391.0,3106577.0,3475664.0
22,DETAIL,0,nan,,其他,,CANON::业务及管理费::::其他,REFERENCE:交银人寿2022年报__业务及管理费__20260721T173423,21905438.0,24436129.0,35415822.0,38450064.0,34721253.0,37755495.0,28242193.0,29810673.0,28242193.0,29810673.0,28871112.0,31227974.0,36518666.0,41314075.0,39353175.0,43994675.0
23,DETAIL,0,nan,,减：当期发生的保险获取现金流量,,CANON::业务及管理费::::减：当期发生的保险获取现金流量,INSERTED_FROM:交银人寿2024年报__业务及管理费__20260721T173418,,,,,,,,,-470586828.0,-470586828.0,-558981090.0,-558981090.0,-558981090.0,-558981090.0,-499786509.0,-499786509.0
