canonical_order,canonical_key,row_type,row_level,canonical_section,parent_section,canonical_item,order_source,reference_capture_run_id,reference_row_order,metadata_source_capture_run_id
1,CANON::业务及管理费::::工资及福利费,DETAIL,0,,nan,工资及福利费,REFERENCE:交银人寿2022年报__业务及管理费__20260721T173423,交银人寿2022年报__业务及管理费__20260721T173423,1.0,交银人寿2022年报__业务及管理费__20260721T173423
2,CANON::业务及管理费::::服务费,DETAIL,0,,nan,服务费,REFERENCE:交银人寿2022年报__业务及管理费__20260721T173423,交银人寿2022年报__业务及管理费__20260721T173423,2.0,交银人寿2022年报__业务及管理费__20260721T173423
3,CANON::业务及管理费::::使用权资产折旧,DETAIL,0,,nan,使用权资产折旧,REFERENCE:交银人寿2022年报__业务及管理费__20260721T173423,交银人寿2022年报__业务及管理费__20260721T173423,3.0,交银人寿2022年报__业务及管理费__20260721T173423
4,CANON::业务及管理费::::社会统筹保险费,DETAIL,0,,nan,社会统筹保险费,REFERENCE:交银人寿2022年报__业务及管理费__20260721T173423,交银人寿2022年报__业务及管理费__20260721T173423,4.0,交银人寿2022年报__业务及管理费__20260721T173423
5,CANON::业务及管理费::::住房公积金,DETAIL,0,,nan,住房公积金,REFERENCE:交银人寿2022年报__业务及管理费__20260721T173423,交银人寿2022年报__业务及管理费__20260721T173423,5.0,交银人寿2022年报__业务及管理费__20260721T173423
6,CANON::业务及管理费::::保险保障基金,DETAIL,0,,nan,保险保障基金,REFERENCE:交银人寿2022年报__业务及管理费__20260721T173423,交银人寿2022年报__业务及管理费__20260721T173423,6.0,交银人寿2022年报__业务及管理费__20260721T173423
7,CANON::业务及管理费::::物业及公杂费,DETAIL,0,,nan,物业及公杂费,REFERENCE:交银人寿2022年报__业务及管理费__20260721T173423,交银人寿2022年报__业务及管理费__20260721T173423,7.0,交银人寿2022年报__业务及管理费__20260721T173423
8,CANON::业务及管理费::::委托投资管理费,DETAIL,0,,nan,委托投资管理费,REFERENCE:交银人寿2022年报__业务及管理费__20260721T173423,交银人寿2022年报__业务及管理费__20260721T173423,8.0,交银人寿2022年报__业务及管理费__20260721T173423
9,CANON::业务及管理费::::业务宣传费,DETAIL,0,,nan,业务宣传费,REFERENCE:交银人寿2022年报__业务及管理费__20260721T173423,交银人寿2022年报__业务及管理费__20260721T173423,9.0,交银人寿2022年报__业务及管理费__20260721T173423
10,CANON::业务及管理费::::无形资产摊销,DETAIL,0,,nan,无形资产摊销,REFERENCE:交银人寿2022年报__业务及管理费__20260721T173423,交银人寿2022年报__业务及管理费__20260721T173423,10.0,交银人寿2022年报__业务及管理费__20260721T173423
11,CANON::业务及管理费::::业务招待费,DETAIL,0,,nan,业务招待费,REFERENCE:交银人寿2022年报__业务及管理费__20260721T173423,交银人寿2022年报__业务及管理费__20260721T173423,11.0,交银人寿2022年报__业务及管理费__20260721T173423
12,CANON::业务及管理费::::培训费,DETAIL,0,,nan,培训费,REFERENCE:交银人寿2022年报__业务及管理费__20260721T173423,交银人寿2022年报__业务及管理费__20260721T173423,12.0,交银人寿2022年报__业务及管理费__20260721T173423
13,CANON::业务及管理费::::会议费,DETAIL,0,,nan,会议费,REFERENCE:交银人寿2022年报__业务及管理费__20260721T173423,交银人寿2022年报__业务及管理费__20260721T173423,13.0,交银人寿2022年报__业务及管理费__20260721T173423
14,CANON::业务及管理费::::软件维护修理费,DETAIL,0,,nan,软件维护修理费,REFERENCE:交银人寿2022年报__业务及管理费__20260721T173423,交银人寿2022年报__业务及管理费__20260721T173423,14.0,交银人寿2022年报__业务及管理费__20260721T173423
