canonical_order,row_type,row_level,parent_section,canonical_section,canonical_item,unit,canonical_key,order_source,中银三星 | 2022 | 2021.0,中银三星 | 2022 | 2022.0,中银三星 | 2023 | 2022.0 | 本公司,中银三星 | 2023 | 2023.0 | 本集团,中银三星 | 2024 | 2023.0 | 本集团,中银三星 | 2024 | 2024.0 | 本集团,中银三星 | 2025 | 2024.0 | 本公司 | 已重述,中银三星 | 2025 | 2024.0 | 本集团 | 已重述,中银三星 | 2025 | 2025.0 | 本公司,中银三星 | 2025 | 2025.0 | 本集团
2,DETAIL,1,按费用项目,按费用项目,手续费及佣金支出,元,RAW::业务及管理费::按费用项目::手续费及佣金支出,REFERENCE:中银三星2025年报__业务及管理费__20260722T090230,,,,,,,1050107575.54,1050107575.54,1052437858.39,1052437858.39
3,DETAIL,1,按费用项目,按费用项目,职工工资及福利费,元,RAW::业务及管理费::按费用项目::职工工资及福利费,REFERENCE:中银三星2025年报__业务及管理费__20260722T090230,,,,,,,436431450.93,436431450.93,453061173.13,453061173.13
4,DETAIL,1,按费用项目,按费用项目,保险保障基金,元,RAW::业务及管理费::按费用项目::保险保障基金,REFERENCE:中银三星2025年报__业务及管理费__20260722T090230,,,,,,,92425918.33,92425918.33,90167189.61,90167189.61
5,DETAIL,1,按费用项目,按费用项目,社会统筹保险费,元,RAW::业务及管理费::按费用项目::社会统筹保险费,REFERENCE:中银三星2025年报__业务及管理费__20260722T090230,,,,,,,78392576.95,78392576.95,79538043.85,79538043.85
6,DETAIL,1,按费用项目,按费用项目,使用权资产折旧费,元,RAW::业务及管理费::按费用项目::使用权资产折旧费,REFERENCE:中银三星2025年报__业务及管理费__20260722T090230,,,,,,,58405985.4,58405985.4,59630432.44,59630432.44
7,DETAIL,1,按费用项目,按费用项目,营销培训费,元,RAW::业务及管理费::按费用项目::营销培训费,REFERENCE:中银三星2025年报__业务及管理费__20260722T090230,,,,,,,78331657.09,78331657.09,52565868.17,52565868.17
8,DETAIL,1,按费用项目,按费用项目,研究费用,元,RAW::业务及管理费::按费用项目::研究费用,REFERENCE:中银三星2025年报__业务及管理费__20260722T090230,,,,,,,29046956.67,29046956.67,48843215.61,48843215.61
9,DETAIL,1,按费用项目,按费用项目,宣传费,元,RAW::业务及管理费::按费用项目::宣传费,REFERENCE:中银三星2025年报__业务及管理费__20260722T090230,,,,,,,61250365.68,61250365.68,42820314.87,42820314.87
10,DETAIL,1,按费用项目,按费用项目,无形资产摊销,元,RAW::业务及管理费::按费用项目::无形资产摊销,REFERENCE:中银三星2025年报__业务及管理费__20260722T090230,,,,,,,26587466.27,26587466.27,24188335.57,24188335.57
11,DETAIL,1,按费用项目,按费用项目,租赁费,元,RAW::业务及管理费::按费用项目::租赁费,REFERENCE:中银三星2025年报__业务及管理费__20260722T090230,,,,,,,34719568.93,34719568.93,21641139.06,21641139.06
