source_key,parent_section,normalized_item,occurrences,capture_count,companies,example_raw_items,suggested_canonical_section,suggested_canonical_item,suggestion_score,canonical_section,canonical_item,category,mapping_status,mapping_note
||职工工资及福利费,,职工工资及福利费,6,3,中银三星,职工工资及福利费,,,,按费用项目,职工工资及福利费,,AUTO_EXACT_IDENTITY,
||使用权资产折旧费,,使用权资产折旧费,6,3,中银三星,使用权资产折旧费,,,,按费用项目,使用权资产折旧费,,AUTO_EXACT_IDENTITY,
||社会统筹保险费,,社会统筹保险费,6,3,中银三星,社会统筹保险费,,,,按费用项目,社会统筹保险费,,AUTO_EXACT_IDENTITY,
||电子设备运转费,,电子设备运转费,6,3,中银三星,电子设备运转费,,,,按费用项目,电子设备运转费,,AUTO_EXACT_IDENTITY,
||租赁费,,租赁费,6,3,中银三星,租赁费,,,,按费用项目,租赁费,,AUTO_EXACT_IDENTITY,
||保险保障基金,,保险保障基金,6,3,中银三星,保险保障基金(注),,,,按费用项目,保险保障基金,,AUTO_EXACT_IDENTITY,
||宣传费,,宣传费,6,3,中银三星,宣传费,,,,按费用项目,宣传费,,AUTO_EXACT_IDENTITY,
||营销培训费,,营销培训费,6,3,中银三星,营销培训费,,,,按费用项目,营销培训费,,AUTO_EXACT_IDENTITY,
||无形资产摊销,,无形资产摊销,6,3,中银三星,无形资产摊销,,,,按费用项目,无形资产摊销,,AUTO_EXACT_IDENTITY,
||业务招待费,,业务招待费,6,3,中银三星,业务招待费,,,,按费用项目,业务招待费,,AUTO_EXACT_IDENTITY,
||长期待摊费用摊销,,长期待摊费用摊销,6,3,中银三星,长期待摊费用摊销,,,,按费用项目,长期待摊费用摊销,,AUTO_EXACT_IDENTITY,
||固定资产折旧费,,固定资产折旧费,6,3,中银三星,固定资产折旧费,,,,按费用项目,固定资产折旧费,,AUTO_EXACT_IDENTITY,
||邮电费,,邮电费,6,3,中银三星,邮电费,,,,按费用项目,邮电费,,AUTO_EXACT_IDENTITY,
||公杂费,,公杂费,6,3,中银三星,公杂费,,,,按费用项目,公杂费,,AUTO_EXACT_IDENTITY,
||会议费,,会议费,6,3,中银三星,会议费,,,,按费用项目,会议费,,AUTO_EXACT_IDENTITY,
||咨询费,,咨询费,6,3,中银三星,咨询费,,,,按费用项目,咨询费,,AUTO_EXACT_IDENTITY,
||研究费用,,研究费用,6,3,中银三星,研究费用,,,,按费用项目,研究费用,,AUTO_EXACT_IDENTITY,
||差旅费,,差旅费,6,3,中银三星,差旅费,,,,按费用项目,差旅费,,AUTO_EXACT_IDENTITY,
||其他费用,,其他费用,6,3,中银三星,其他费用,,,,按费用项目,其他费用,,AUTO_EXACT_IDENTITY,
||合计,,合计,6,3,中银三星,合计,,,,按费用项目,合计,,AUTO_EXACT_IDENTITY,
||专业外包服务费,,专业外包服务费,4,2,中银三星,专业外包服务费,,,,按费用项目,专业外包服务费,,AUTO_EXACT_IDENTITY,
按费用项目||手续费及佣金支出,按费用项目,手续费及佣金支出,4,1,中银三星,手续费及佣金支出,按费用项目,,,按费用项目,手续费及佣金支出,,UNMAPPED_PRESERVED,
按费用项目||职工工资及福利费,按费用项目,职工工资及福利费,4,1,中银三星,职工工资及福利费,按费用项目,,,按费用项目,职工工资及福利费,,UNMAPPED_PRESERVED,
按费用项目||保险保障基金,按费用项目,保险保障基金,4,1,中银三星,保险保障基金(注),按费用项目,,,按费用项目,保险保障基金,,UNMAPPED_PRESERVED,
按费用项目||社会统筹保险费,按费用项目,社会统筹保险费,4,1,中银三星,社会统筹保险费,按费用项目,,,按费用项目,社会统筹保险费,,UNMAPPED_PRESERVED,
按费用项目||使用权资产折旧费,按费用项目,使用权资产折旧费,4,1,中银三星,使用权资产折旧费,按费用项目,,,按费用项目,使用权资产折旧费,,UNMAPPED_PRESERVED,
按费用项目||营销培训费,按费用项目,营销培训费,4,1,中银三星,营销培训费,按费用项目,,,按费用项目,营销培训费,,UNMAPPED_PRESERVED,
按费用项目||研究费用,按费用项目,研究费用,4,1,中银三星,研究费用,按费用项目,,,按费用项目,研究费用,,UNMAPPED_PRESERVED,
按费用项目||宣传费,按费用项目,宣传费,4,1,中银三星,宣传费,按费用项目,,,按费用项目,宣传费,,UNMAPPED_PRESERVED,
按费用项目||无形资产摊销,按费用项目,无形资产摊销,4,1,中银三星,无形资产摊销,按费用项目,,,按费用项目,无形资产摊销,,UNMAPPED_PRESERVED,
按费用项目||租赁费,按费用项目,租赁费,4,1,中银三星,租赁费,按费用项目,,,按费用项目,租赁费,,UNMAPPED_PRESERVED,
