source_pdf,pdf_sha256,report_year,period_type,context_source_page,producer_version,container_id,table_block_id,block_order,classification_axis,block_role,block_terminal_type,pdf_name,table_query,note_number,located_title,row_order,row_type,row_role,extractor_row_role,row_level,parent_section,raw_item,item,row_id,parent_row_id,normalized_item,row_item_raw,row_item_normalized,label_derivation,derivation_method,derived_from_rows,derivation_evidence,canonical_item,mapping_status,column_ordinal,source_column_index,column_dimension_key,year,data_year,period_label,measure,scope,statement_scope,restated,restated_flag,header_raw,value_raw,value,value_yuan,unit,original_unit,currency_unit,page,bbox,header_source_page,source_method,source_pdf_sha256,printed_page,adjudication_status,cell_role
C:\dev\AXA_research\releases\v6.11\_v59_regression_runtime\相对期间保险2025年度报告.pdf,0139502fc52c3b461433c8064f46f3454603d074ec4afc15b51359e94a8227c8,2025,ANNUAL,,v6.11,,,,UNRESOLVED,UNRESOLVED,UNRESOLVED,相对期间保险2025年度报告.pdf,业务及管理费,34,34. 业务及管理费,1,DETAIL,DETAIL,DETAIL,0,,工资和福利费,工资和福利费,0139502fc52c3b461433c8064f46f3454603d074ec4afc15b51359e94a8227c8:业务及管理费:1,,工资和福利费,工资和福利费,工资和福利费,EXPLICIT_TEXT,,,,,UNMAPPED,0.0,1.0,本年累计数|本集团|ORIGINAL|,本年累计数,本年累计数,本年累计数,,本集团,CONSOLIDATED,False,False,本集团 | 本年累计数,"1,169,648,937",1169648937.0,,,,,2,"{""x0"": 70.0, ""y0"": 220.0, ""x1"": 897.5463256835938, ""y1"": 232.6909942626953}",,spatial_roi+column_anchors,0139502fc52c3b461433c8064f46f3454603d074ec4afc15b51359e94a8227c8,,MACHINE_EVIDENCE,NUMERIC
C:\dev\AXA_research\releases\v6.11\_v59_regression_runtime\相对期间保险2025年度报告.pdf,0139502fc52c3b461433c8064f46f3454603d074ec4afc15b51359e94a8227c8,2025,ANNUAL,,v6.11,,,,UNRESOLVED,UNRESOLVED,UNRESOLVED,相对期间保险2025年度报告.pdf,业务及管理费,34,34. 业务及管理费,1,DETAIL,DETAIL,DETAIL,0,,工资和福利费,工资和福利费,0139502fc52c3b461433c8064f46f3454603d074ec4afc15b51359e94a8227c8:业务及管理费:1,,工资和福利费,工资和福利费,工资和福利费,EXPLICIT_TEXT,,,,,UNMAPPED,1.0,2.0,上年累计数|本集团|ORIGINAL|,上年累计数,上年累计数,上年累计数,,本集团,CONSOLIDATED,False,False,本集团 | 上年累计数,"1,100,025,060",1100025060.0,,,,,2,"{""x0"": 70.0, ""y0"": 220.0, ""x1"": 897.5463256835938, ""y1"": 232.6909942626953}",,spatial_roi+column_anchors,0139502fc52c3b461433c8064f46f3454603d074ec4afc15b51359e94a8227c8,,MACHINE_EVIDENCE,NUMERIC
C:\dev\AXA_research\releases\v6.11\_v59_regression_runtime\相对期间保险2025年度报告.pdf,0139502fc52c3b461433c8064f46f3454603d074ec4afc15b51359e94a8227c8,2025,ANNUAL,,v6.11,,,,UNRESOLVED,UNRESOLVED,UNRESOLVED,相对期间保险2025年度报告.pdf,业务及管理费,34,34. 业务及管理费,1,DETAIL,DETAIL,DETAIL,0,,工资和福利费,工资和福利费,0139502fc52c3b461433c8064f46f3454603d074ec4afc15b51359e94a8227c8:业务及管理费:1,,工资和福利费,工资和福利费,工资和福利费,EXPLICIT_TEXT,,,,,UNMAPPED,2.0,3.0,本年累计数|本公司|ORIGINAL|,本年累计数,本年累计数,本年累计数,,本公司,COMPANY,False,False,本公司 | 本年累计数,"1,063,416,253",1063416253.0,,,,,2,"{""x0"": 70.0, ""y0"": 220.0, ""x1"": 897.5463256835938, ""y1"": 232.6909942626953}",,spatial_roi+column_anchors,0139502fc52c3b461433c8064f46f3454603d074ec4afc15b51359e94a8227c8,,MACHINE_EVIDENCE,NUMERIC
C:\dev\AXA_research\releases\v6.11\_v59_regression_runtime\相对期间保险2025年度报告.pdf,0139502fc52c3b461433c8064f46f3454603d074ec4afc15b51359e94a8227c8,2025,ANNUAL,,v6.11,,,,UNRESOLVED,UNRESOLVED,UNRESOLVED,相对期间保险2025年度报告.pdf,业务及管理费,34,34. 业务及管理费,1,DETAIL,DETAIL,DETAIL,0,,工资和福利费,工资和福利费,0139502fc52c3b461433c8064f46f3454603d074ec4afc15b51359e94a8227c8:业务及管理费:1,,工资和福利费,工资和福利费,工资和福利费,EXPLICIT_TEXT,,,,,UNMAPPED,3.0,4.0,上年累计数|本公司|ORIGINAL|,上年累计数,上年累计数,上年累计数,,本公司,COMPANY,False,False,本公司 | 上年累计数,"1,000,374,052",1000374052.0,,,,,2,"{""x0"": 70.0, ""y0"": 220.0, ""x1"": 897.5463256835938, ""y1"": 232.6909942626953}",,spatial_roi+column_anchors,0139502fc52c3b461433c8064f46f3454603d074ec4afc15b51359e94a8227c8,,MACHINE_EVIDENCE,NUMERIC
C:\dev\AXA_research\releases\v6.11\_v59_regression_runtime\相对期间保险2025年度报告.pdf,0139502fc52c3b461433c8064f46f3454603d074ec4afc15b51359e94a8227c8,2025,ANNUAL,,v6.11,,,,UNRESOLVED,UNRESOLVED,UNRESOLVED,相对期间保险2025年度报告.pdf,业务及管理费,34,34. 业务及管理费,2,DETAIL,DETAIL,DETAIL,0,,其他,其他,0139502fc52c3b461433c8064f46f3454603d074ec4afc15b51359e94a8227c8:业务及管理费:2,,其他,其他,其他,EXPLICIT_TEXT,,,,,UNMAPPED,0.0,1.0,本年累计数|本集团|ORIGINAL|,本年累计数,本年累计数,本年累计数,,本集团,CONSOLIDATED,False,False,本集团 | 本年累计数,"37,906,512",37906512.0,,,,,2,"{""x0"": 70.0, ""y0"": 254.0, ""x1"": 885.0362548828125, ""y1"": 266.6910095214844}",,spatial_roi+column_anchors,0139502fc52c3b461433c8064f46f3454603d074ec4afc15b51359e94a8227c8,,MACHINE_EVIDENCE,NUMERIC
C:\dev\AXA_research\releases\v6.11\_v59_regression_runtime\相对期间保险2025年度报告.pdf,0139502fc52c3b461433c8064f46f3454603d074ec4afc15b51359e94a8227c8,2025,ANNUAL,,v6.11,,,,UNRESOLVED,UNRESOLVED,UNRESOLVED,相对期间保险2025年度报告.pdf,业务及管理费,34,34. 业务及管理费,2,DETAIL,DETAIL,DETAIL,0,,其他,其他,0139502fc52c3b461433c8064f46f3454603d074ec4afc15b51359e94a8227c8:业务及管理费:2,,其他,其他,其他,EXPLICIT_TEXT,,,,,UNMAPPED,1.0,2.0,上年累计数|本集团|ORIGINAL|,上年累计数,上年累计数,上年累计数,,本集团,CONSOLIDATED,False,False,本集团 | 上年累计数,"37,047,850",37047850.0,,,,,2,"{""x0"": 70.0, ""y0"": 254.0, ""x1"": 885.0362548828125, ""y1"": 266.6910095214844}",,spatial_roi+column_anchors,0139502fc52c3b461433c8064f46f3454603d074ec4afc15b51359e94a8227c8,,MACHINE_EVIDENCE,NUMERIC
C:\dev\AXA_research\releases\v6.11\_v59_regression_runtime\相对期间保险2025年度报告.pdf,0139502fc52c3b461433c8064f46f3454603d074ec4afc15b51359e94a8227c8,2025,ANNUAL,,v6.11,,,,UNRESOLVED,UNRESOLVED,UNRESOLVED,相对期间保险2025年度报告.pdf,业务及管理费,34,34. 业务及管理费,2,DETAIL,DETAIL,DETAIL,0,,其他,其他,0139502fc52c3b461433c8064f46f3454603d074ec4afc15b51359e94a8227c8:业务及管理费:2,,其他,其他,其他,EXPLICIT_TEXT,,,,,UNMAPPED,2.0,3.0,本年累计数|本公司|ORIGINAL|,本年累计数,本年累计数,本年累计数,,本公司,COMPANY,False,False,本公司 | 本年累计数,"35,521,028",35521028.0,,,,,2,"{""x0"": 70.0, ""y0"": 254.0, ""x1"": 885.0362548828125, ""y1"": 266.6910095214844}",,spatial_roi+column_anchors,0139502fc52c3b461433c8064f46f3454603d074ec4afc15b51359e94a8227c8,,MACHINE_EVIDENCE,NUMERIC
C:\dev\AXA_research\releases\v6.11\_v59_regression_runtime\相对期间保险2025年度报告.pdf,0139502fc52c3b461433c8064f46f3454603d074ec4afc15b51359e94a8227c8,2025,ANNUAL,,v6.11,,,,UNRESOLVED,UNRESOLVED,UNRESOLVED,相对期间保险2025年度报告.pdf,业务及管理费,34,34. 业务及管理费,2,DETAIL,DETAIL,DETAIL,0,,其他,其他,0139502fc52c3b461433c8064f46f3454603d074ec4afc15b51359e94a8227c8:业务及管理费:2,,其他,其他,其他,EXPLICIT_TEXT,,,,,UNMAPPED,3.0,4.0,上年累计数|本公司|ORIGINAL|,上年累计数,上年累计数,上年累计数,,本公司,COMPANY,False,False,本公司 | 上年累计数,"34,827,366",34827366.0,,,,,2,"{""x0"": 70.0, ""y0"": 254.0, ""x1"": 885.0362548828125, ""y1"": 266.6910095214844}",,spatial_roi+column_anchors,0139502fc52c3b461433c8064f46f3454603d074ec4afc15b51359e94a8227c8,,MACHINE_EVIDENCE,NUMERIC
C:\dev\AXA_research\releases\v6.11\_v59_regression_runtime\相对期间保险2025年度报告.pdf,0139502fc52c3b461433c8064f46f3454603d074ec4afc15b51359e94a8227c8,2025,ANNUAL,,v6.11,,,,UNRESOLVED,UNRESOLVED,UNRESOLVED,相对期间保险2025年度报告.pdf,业务及管理费,34,34. 业务及管理费,3,SUBTOTAL,SUBTOTAL,SUBTOTAL,0,,小计,小计,0139502fc52c3b461433c8064f46f3454603d074ec4afc15b51359e94a8227c8:业务及管理费:3,,小计,小计,小计,EXPLICIT_TEXT,,,,,UNMAPPED,0.0,1.0,本年累计数|本集团|ORIGINAL|,本年累计数,本年累计数,本年累计数,,本集团,CONSOLIDATED,False,False,本集团 | 本年累计数,"1,207,555,449",1207555449.0,,,,,2,"{""x0"": 70.0, ""y0"": 288.0, ""x1"": 897.5463256835938, ""y1"": 300.6910095214844}",,spatial_roi+column_anchors,0139502fc52c3b461433c8064f46f3454603d074ec4afc15b51359e94a8227c8,,MACHINE_EVIDENCE,NUMERIC
C:\dev\AXA_research\releases\v6.11\_v59_regression_runtime\相对期间保险2025年度报告.pdf,0139502fc52c3b461433c8064f46f3454603d074ec4afc15b51359e94a8227c8,2025,ANNUAL,,v6.11,,,,UNRESOLVED,UNRESOLVED,UNRESOLVED,相对期间保险2025年度报告.pdf,业务及管理费,34,34. 业务及管理费,3,SUBTOTAL,SUBTOTAL,SUBTOTAL,0,,小计,小计,0139502fc52c3b461433c8064f46f3454603d074ec4afc15b51359e94a8227c8:业务及管理费:3,,小计,小计,小计,EXPLICIT_TEXT,,,,,UNMAPPED,1.0,2.0,上年累计数|本集团|ORIGINAL|,上年累计数,上年累计数,上年累计数,,本集团,CONSOLIDATED,False,False,本集团 | 上年累计数,"1,137,072,910",1137072910.0,,,,,2,"{""x0"": 70.0, ""y0"": 288.0, ""x1"": 897.5463256835938, ""y1"": 300.6910095214844}",,spatial_roi+column_anchors,0139502fc52c3b461433c8064f46f3454603d074ec4afc15b51359e94a8227c8,,MACHINE_EVIDENCE,NUMERIC
